ticker,data,mrs,rsv,atr,atr_ma,atr_ratio,close,dias_rsv,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,range_candle,range_ratio,close_pos,ma20,dist_ma20
CVCB3,2023-10-05,-17.448,38.103,0.143,0.151,0.943,2.660,2,C,9.774,2.105,7.670,-6.015,-0.228,-5.787,10.902,4.610,6.292,,,,2.410,10.191
CVCB3,2023-10-06,-20.083,46.296,0.146,0.151,0.965,2.590,3,C,12.741,2.060,10.681,5.405,-1.184,6.589,21.622,4.527,17.094,,,,2.430,6.738
CVCB3,2023-10-09,-18.197,65.534,0.148,0.150,0.984,2.670,4,C,4.869,0.537,4.332,7.865,-1.342,9.208,16.105,3.383,12.722,,,,2.440,9.359
CVCB3,2023-10-10,-5.704,219.223,0.163,0.151,1.081,3.110,5,C,-12.862,-2.440,-10.422,-6.752,-3.341,-3.411,-3.215,1.812,-5.028,,,,2.470,25.707
CVCB3,2023-10-11,-8.205,165.873,0.168,0.152,1.108,3.030,6,C,-15.512,-2.555,-12.956,-2.310,-1.850,-0.460,0.330,3.093,-2.762,,,,2.500,21.031
CVCB3,2023-10-17,-13.669,6.339,0.174,0.155,1.122,2.800,2,C,2.857,-1.869,4.726,-1.786,-2.421,0.636,16.071,7.673,8.398,,,,2.590,8.213
CVCB3,2023-10-24,-8.418,27.213,0.191,0.161,1.180,2.880,2,C,-4.514,-0.562,-3.951,7.639,4.790,2.849,12.847,11.466,1.381,,,,2.680,7.503
CVCB3,2023-10-25,-6.806,9.329,0.192,0.163,1.177,2.900,3,C,3.103,2.021,1.082,3.793,5.332,-1.538,14.828,11.257,3.570,,,,2.700,7.249
CVCB3,2023-10-26,-6.368,18.514,0.188,0.164,1.143,2.960,4,C,9.797,3.007,6.790,2.703,5.036,-2.333,9.797,9.461,0.336,,,,2.730,8.485
CVCB3,2023-10-27,-8.290,31.509,0.191,0.167,1.146,2.850,5,C,3.509,4.515,-1.006,2.807,6.345,-3.538,16.491,11.716,4.775,,,,2.740,4.072
CVCB3,2023-10-30,-10.512,8.207,0.191,0.169,1.126,2.750,6,C,14.545,6.158,8.387,14.182,9.774,4.408,20.000,12.215,7.785,,,,2.750,0.091
CVCB3,2023-11-06,-8.068,113.107,0.210,0.180,1.166,2.950,10,C,-0.678,1.751,-2.429,4.407,6.053,-1.647,21.695,7.142,14.553,,,,2.840,3.837
CVCB3,2023-11-17,-6.558,18.294,0.218,0.200,1.091,3.110,2,C,7.074,0.462,6.612,12.540,2.593,9.947,22.508,4.277,18.231,,,,2.940,5.782
CVCB3,2023-11-22,-8.516,71.765,0.206,0.205,1.004,3.050,2,C,8.197,0.098,8.098,20.984,-0.352,21.336,25.902,3.823,22.078,,,,3.010,1.346
CVCB3,2024-08-22,-24.381,16.170,0.139,0.097,1.438,2.150,2,C,-7.907,0.456,-8.363,-11.163,1.003,-12.166,-6.512,-1.672,-4.840,,,,1.910,12.330
CVCB3,2024-08-23,-20.952,56.518,0.143,0.099,1.444,2.250,3,C,-12.444,0.470,-12.914,-15.556,-0.773,-14.783,-16.889,-3.296,-13.593,,,,1.930,16.369
CVCB3,2024-08-26,-27.751,277.387,0.151,0.102,1.480,2.070,4,C,-7.246,-1.584,-5.662,-12.560,-1.629,-10.931,-9.662,-4.662,-5.000,,,,1.950,6.399
CVCB3,2024-08-27,-26.754,26.680,0.151,0.105,1.443,2.090,5,C,-8.612,-1.789,-6.823,-13.876,-1.789,-12.086,-11.005,-3.255,-7.749,,,,1.960,6.605
CVCB3,2024-09-13,-23.445,213.229,0.153,0.140,1.095,2.080,4,C,-10.096,-2.728,-7.368,-8.654,-1.654,-7.000,-12.500,-3.613,-8.887,,,,2.000,4.000
CVCB3,2024-09-16,-24.806,106.500,0.150,0.142,1.055,2.040,5,C,-8.333,-3.334,-4.999,-8.824,-2.245,-6.578,-9.314,-2.953,-6.360,,,,1.990,2.256
CVCB3,2024-09-17,-22.723,151.475,0.154,0.145,1.062,2.090,6,C,-11.005,-2.018,-8.987,-11.483,-1.881,-9.602,-11.962,-2.992,-8.969,,,,2.000,4.631
CVCB3,2024-09-18,-22.478,39.726,0.138,0.145,0.949,2.070,7,C,-11.111,-1.638,-9.473,-9.662,-0.154,-9.508,-10.145,-1.522,-8.622,,,,1.990,4.230
CVCB3,2024-09-19,-24.116,7.650,0.133,0.145,0.920,2.010,8,C,-7.463,-0.031,-7.432,-7.463,-1.036,-6.427,-8.458,-1.592,-6.865,,,,1.980,1.566
CVCB3,2024-10-28,-10.122,43.197,0.065,0.086,0.766,2.140,2,C,-0.935,-0.540,-0.395,-2.804,-2.730,-0.074,25.701,-2.926,28.626,,,,1.880,13.709
CVCB3,2024-10-29,-12.425,38.328,0.069,0.083,0.827,2.070,3,C,3.382,-0.079,3.460,2.415,-2.397,4.812,12.560,-4.676,17.236,,,,1.890,9.350
CVCB3,2024-10-30,-8.390,68.846,0.075,0.081,0.925,2.160,4,C,2.778,-0.731,3.509,0.463,-2.279,2.742,11.111,-3.859,14.970,,,,1.910,13.237
CVCB3,2024-10-31,-12.147,3.781,0.079,0.078,1.000,2.050,5,C,0.976,-0.158,1.134,12.195,-1.576,13.771,18.049,-3.469,21.518,,,,1.920,6.938
CVCB3,2024-11-01,-15.510,5.017,0.084,0.077,1.087,1.940,6,C,5.155,-0.080,5.235,19.072,-0.152,19.225,29.381,-1.541,30.922,,,,1.920,0.937
CVCB3,2024-11-04,-9.296,35.929,0.092,0.076,1.208,2.120,7,C,-1.887,-2.202,0.315,11.792,-1.785,13.578,20.755,-3.460,24.215,,,,1.940,9.448
CVCB3,2024-11-05,-8.215,45.798,0.095,0.075,1.263,2.140,8,C,-0.935,-2.320,1.386,12.150,-2.792,14.942,8.878,-2.076,10.955,,,,1.950,9.631
CVCB3,2025-01-29,-5.797,15.817,0.100,0.124,0.804,1.800,2,C,1.111,1.831,-0.720,1.667,0.899,0.768,-2.778,1.373,-4.151,,,,1.690,6.383
CVCB3,2025-02-05,-6.436,18.003,0.103,0.108,0.954,1.820,3,C,0.549,-0.915,1.465,1.648,1.340,0.308,2.747,-0.343,3.090,,,,1.790,1.961
CVCB3,2025-11-12,-23.801,143.775,0.083,0.067,1.235,1.870,2,C,5.348,-1.580,6.927,0.000,0.570,-0.570,5.882,1.133,4.749,,,,1.810,3.258
CVCB3,2025-11-19,-17.991,9.222,0.098,0.073,1.344,1.970,2,C,-5.076,2.184,-7.260,2.538,6.112,-3.574,-1.523,1.882,-3.404,,,,1.860,5.857
CVCB3,2025-11-28,-23.158,277.302,0.108,0.085,1.272,1.880,2,C,1.064,-1.072,2.135,6.383,1.059,5.324,14.894,1.380,13.514,,,,1.860,0.994
CVCB3,2025-12-02,-21.994,37.163,0.117,0.090,1.303,1.930,4,C,1.036,-2.165,3.201,1.036,-1.779,2.815,18.135,0.348,17.787,,,,1.860,3.680
CVCB3,2025-12-03,-19.284,44.789,0.119,0.092,1.294,2.000,5,C,-1.500,-1.515,0.015,-3.000,-2.557,-0.443,16.000,1.136,14.864,,,,1.870,7.181
CVCB3,2025-12-30,-11.531,17.091,0.095,0.112,0.843,2.160,2,C,8.796,1.013,7.784,25.000,2.880,22.120,3.241,13.703,-10.462,,,,1.980,8.953
CVCB3,2026-01-02,-9.473,180.420,0.089,0.111,0.807,2.200,3,C,14.545,1.741,12.804,9.545,2.675,6.870,19.091,13.244,5.847,,,,2.000,9.890
CVCB3,2026-01-05,-6.843,87.149,0.090,0.110,0.826,2.280,4,C,13.596,1.028,12.568,10.088,2.157,7.930,9.211,13.046,-3.835,,,,2.020,12.899
CVCB3,2026-01-06,-6.162,37.542,0.089,0.108,0.823,2.320,5,C,12.069,-0.705,12.774,3.017,1.698,1.319,9.914,13.727,-3.813,,,,2.040,13.977
CVCB3,2026-01-07,-6.518,7.593,0.088,0.106,0.831,2.290,6,C,15.284,2.166,13.118,4.803,6.392,-1.588,12.664,12.217,0.447,,,,2.050,11.762
CVCB3,2026-01-21,-7.499,113.950,0.168,0.107,1.582,2.400,5,C,10.000,7.369,2.631,7.500,5.475,2.025,1.667,10.500,-8.833,,,,2.330,3.071
CVCB3,2026-01-22,-10.209,7.340,0.172,0.110,1.564,2.380,6,C,-6.303,4.000,-10.303,7.143,3.421,3.722,2.101,7.196,-5.095,,,,2.350,1.428
CVCB3,2026-01-23,-10.169,37.667,0.180,0.114,1.578,2.420,7,C,8.264,1.423,6.842,3.719,2.015,1.704,-2.066,6.875,-8.941,,,,2.370,2.174
CVCB3,2026-01-26,-6.548,58.587,0.184,0.118,1.555,2.510,8,C,-0.797,2.225,-3.022,0.000,4.273,-4.273,-10.359,6.937,-17.295,,,,2.390,4.911
CXSE3,2022-05-31,-5.214,143.907,0.157,0.184,0.853,5.740,2,C,-6.743,-1.752,-4.991,-11.578,-2.916,-8.661,-10.560,-10.785,0.225,,,,5.570,3.095
CXSE3,2025-07-02,-5.431,73.174,0.232,0.261,0.887,13.800,2,C,-1.900,1.054,-2.954,-4.681,3.231,-7.912,-6.649,1.623,-8.272,,,,13.590,1.536
CXSE3,2025-07-03,-7.039,36.677,0.232,0.259,0.896,13.760,3,C,-0.884,2.340,-3.224,-4.422,4.665,-9.086,-6.259,2.501,-8.760,,,,13.600,1.212
CXSE3,2025-07-08,-6.522,15.157,0.231,0.254,0.910,13.660,2,C,-0.960,2.278,-3.237,-6.306,0.759,-7.065,-7.010,0.158,-7.168,,,,13.600,0.430
CXSE3,2025-08-14,-7.733,21.684,0.221,0.220,1.004,13.190,2,C,-1.888,-1.470,-0.418,2.977,0.331,2.647,0.944,-2.719,3.663,,,,12.890,2.372
CXSE3,2025-08-21,-8.239,46.364,0.241,0.223,1.084,12.940,2,C,4.959,1.827,3.132,4.367,1.551,2.816,6.144,-2.178,8.322,,,,12.920,0.156
CXSE3,2025-09-01,-7.747,74.489,0.247,0.232,1.061,13.650,2,C,-0.561,-3.125,2.564,-2.246,-3.952,1.706,3.649,-5.829,9.479,,,,13.130,3.992
CXSE3,2025-09-02,-8.611,145.489,0.250,0.234,1.068,13.430,3,C,2.354,-3.352,5.706,0.428,-5.669,6.097,7.775,-6.197,13.972,,,,13.160,2.030
CXSE3,2025-09-03,-8.712,120.627,0.252,0.235,1.071,13.360,4,C,2.151,-3.195,5.346,1.505,-3.848,5.353,8.746,-4.727,13.473,,,,13.190,1.300
CXSE3,2025-09-04,-8.475,30.955,0.251,0.237,1.057,13.510,5,C,-1.418,-2.776,1.358,1.702,-3.672,5.375,6.241,-4.400,10.641,,,,13.230,2.093
CXSE3,2025-09-19,-9.172,74.987,0.209,0.236,0.889,13.810,2,C,1.803,-1.103,2.906,4.508,-0.680,5.187,2.427,-0.446,2.873,,,,13.510,2.277
CXSE3,2025-09-22,-8.689,15.427,0.215,0.234,0.919,13.800,3,C,2.498,-0.688,3.186,5.205,2.095,3.110,4.094,0.650,3.444,,,,13.540,1.971
CXSE3,2025-09-23,-7.736,5.859,0.223,0.233,0.958,14.070,4,C,2.859,-0.675,3.534,3.131,1.886,1.246,1.838,3.603,-1.765,,,,13.580,3.662
CXSE3,2025-09-24,-7.811,71.438,0.218,0.232,0.943,14.060,5,C,3.338,0.580,2.758,1.975,2.515,-0.539,1.158,4.534,-3.376,,,,13.610,3.344
CYRE3,2022-03-18,-10.829,43.203,0.622,0.552,1.127,12.640,2,C,17.040,3.630,13.409,11.567,5.843,5.724,-4.602,0.659,-5.261,,,,11.750,7.569
CYRE3,2022-03-23,-6.889,55.739,0.644,0.566,1.138,13.390,2,C,3.758,2.657,1.101,-3.582,0.859,-4.441,-12.331,-5.447,-6.884,,,,11.810,13.367
CYRE3,2022-03-24,-5.044,4.697,0.645,0.572,1.127,13.850,3,C,-0.738,0.750,-1.487,-8.286,-0.078,-8.208,-11.935,-6.955,-4.981,,,,11.890,16.565
CYRE3,2022-03-31,-5.767,68.769,0.677,0.606,1.116,13.750,2,C,-7.604,-0.822,-6.783,-12.521,-3.417,-9.104,-15.738,-11.142,-4.596,,,,12.460,10.326
CYRE3,2022-04-04,-5.776,145.592,0.668,0.619,1.078,13.850,4,C,-12.089,-3.622,-8.467,-12.883,-5.034,-7.849,-12.584,-10.634,-1.951,,,,12.760,8.541
CYRE3,2023-01-09,-7.161,13.901,0.630,0.631,0.999,11.100,2,C,0.295,0.114,0.181,6.701,2.421,4.281,3.387,-0.095,3.482,,,,10.530,5.353
CYRE3,2023-01-10,-6.335,41.039,0.624,0.628,0.994,11.380,3,C,0.790,0.578,0.211,5.169,2.099,3.069,0.718,-2.874,3.592,,,,10.590,7.493
CYRE3,2024-06-25,-5.297,51.430,0.514,0.537,0.956,17.280,2,C,-3.630,2.044,-5.674,2.454,3.902,-1.448,3.016,3.406,-0.390,,,,16.990,1.719
CYRE3,2024-06-27,-6.935,62.034,0.519,0.530,0.980,17.230,4,C,1.641,1.507,0.134,8.564,3.121,5.443,0.359,1.333,-0.974,,,,16.990,1.423
CYRE3,2024-07-08,-6.970,42.168,0.519,0.524,0.992,17.430,2,C,4.257,2.261,1.996,4.815,1.074,3.741,-1.419,-0.952,-0.467,,,,16.920,3.021
CYRE3,2024-07-09,-5.913,0.593,0.533,0.525,1.015,17.700,3,C,4.142,1.481,2.660,0.549,-0.478,1.026,-3.493,-0.648,-2.845,,,,16.940,4.500
CYRE3,2024-08-07,-5.091,13.320,0.559,0.542,1.030,17.850,2,C,7.079,4.547,2.532,10.000,7.014,2.986,6.881,6.724,0.158,,,,17.670,0.980
DIRR3,2022-04-05,-7.388,23.525,0.155,0.147,1.053,2.670,2,C,-1.696,-2.393,0.696,2.799,-3.895,6.694,-4.156,-11.361,7.205,,,,2.610,2.202
DIRR3,2022-04-08,-7.861,30.344,0.137,0.149,0.925,2.640,2,C,0.172,-2.211,2.383,-2.146,-8.510,6.364,-12.103,-12.932,0.829,,,,2.620,0.783
DIRR3,2026-01-27,-15.683,8.538,0.505,0.563,0.898,13.960,2,C,5.946,2.222,3.724,13.754,2.340,11.414,18.911,5.117,13.794,,,,13.630,2.425
ECOR3,2022-03-17,-20.320,4.798,0.292,0.260,1.123,6.630,2,C,6.648,5.557,1.092,5.679,6.348,-0.669,4.432,2.714,1.718,,,,6.120,8.457
ECOR3,2022-03-18,-19.229,16.285,0.298,0.262,1.138,6.830,3,C,5.914,3.630,2.284,4.839,5.843,-1.004,-1.344,0.659,-2.003,,,,6.130,11.586
ECOR3,2022-03-25,-16.543,22.310,0.294,0.274,1.075,7.240,2,C,-1.015,2.135,-3.150,-3.680,-0.671,-3.009,-7.487,-9.124,1.637,,,,6.290,15.095
ECOR3,2022-03-31,-19.046,31.074,0.290,0.279,1.038,7.010,2,C,-0.393,-0.822,0.429,-1.180,-3.417,2.237,-12.320,-11.142,-1.178,,,,6.490,7.921
ECOR3,2022-04-01,-18.185,9.972,0.284,0.281,1.013,7.170,3,C,-2.692,-2.747,0.055,-5.897,-4.898,-1.000,-16.154,-12.355,-3.799,,,,6.560,9.228
ECOR3,2022-04-04,-18.751,99.929,0.279,0.281,0.991,7.070,4,C,-2.078,-3.622,1.544,-2.987,-5.034,2.047,-13.766,-10.634,-3.133,,,,6.640,6.552
ECOR3,2022-04-12,-14.813,33.075,0.252,0.280,0.898,7.000,2,C,0.262,-1.539,1.801,-4.724,-5.288,0.563,-24.803,-8.705,-16.098,,,,6.960,0.601
ECOR3,2022-04-13,-14.552,6.653,0.234,0.278,0.843,7.060,3,C,-2.865,-5.128,2.263,-10.026,-8.105,-1.921,-24.349,-8.203,-16.146,,,,6.990,0.933
ECOR3,2022-04-20,-12.437,70.993,0.234,0.264,0.885,7.020,2,C,-4.974,-3.807,-1.166,-18.063,-7.769,-10.294,-16.361,-6.333,-10.028,,,,7.010,0.118
ECOR3,2022-05-23,-14.644,19.283,0.302,0.272,1.112,6.330,2,C,4.935,0.150,4.785,0.290,-0.318,0.609,-8.853,-9.704,0.851,,,,5.860,8.045
ECOR3,2022-05-24,-12.671,5.379,0.302,0.275,1.097,6.460,3,C,4.836,0.506,4.330,-2.134,-0.459,-1.674,-11.238,-9.949,-1.288,,,,5.850,10.465
ECOR3,2022-05-25,-11.679,16.173,0.302,0.278,1.086,6.520,4,C,-0.141,0.759,-0.900,-3.944,-1.931,-2.012,-13.239,-11.251,-1.989,,,,5.840,11.697
ECOR3,2022-05-26,-10.585,96.698,0.304,0.282,1.078,6.680,5,C,-1.651,0.380,-2.030,-4.952,-4.018,-0.934,-15.818,-11.618,-4.200,,,,5.840,14.362
ECOR3,2022-05-27,-11.478,6.356,0.288,0.285,1.012,6.600,6,C,-1.950,-0.389,-1.561,-6.128,-5.635,-0.493,-15.877,-9.778,-6.100,,,,5.850,12.707
ECOR3,2022-05-30,-9.932,11.306,0.279,0.286,0.976,6.640,7,C,-4.426,-0.468,-3.958,-14.385,-7.295,-7.089,-20.470,-9.231,-11.239,,,,5.880,13.013
ECOR3,2022-05-31,-8.309,226.583,0.280,0.288,0.972,6.770,8,C,-6.649,-0.961,-5.688,-15.604,-8.229,-7.375,-21.981,-10.431,-11.550,,,,5.920,14.459
ECOR3,2022-06-01,-11.920,20.284,0.277,0.289,0.958,6.510,9,C,-3.808,-2.671,-1.138,-11.001,-7.528,-3.474,-19.605,-11.603,-8.002,,,,5.940,9.727
ECOR3,2022-08-01,-18.831,14.491,0.200,0.217,0.919,5.100,2,C,13.874,6.331,7.543,18.198,10.562,7.636,9.730,9.984,-0.254,,,,4.980,2.342
ECOR3,2022-08-17,-13.531,28.144,0.237,0.209,1.135,5.920,2,C,-4.193,-0.736,-3.456,-9.006,-3.782,-5.224,-16.615,-3.528,-13.087,,,,5.430,8.931
ECOR3,2022-08-18,-13.341,38.506,0.241,0.211,1.141,5.920,3,C,-3.882,-0.309,-3.573,-8.696,-3.047,-5.649,-15.217,-3.948,-11.270,,,,5.480,7.963
ECOR3,2022-09-13,-10.622,131.259,0.233,0.233,1.000,5.710,2,C,-12.379,1.748,-14.127,-17.846,-2.150,-15.696,-15.434,3.655,-19.089,,,,5.640,1.394
ECOR3,2023-01-05,-25.943,25.434,0.205,0.200,1.023,3.910,2,C,9.882,3.827,6.056,7.529,4.642,2.888,7.529,1.947,5.583,,,,3.900,0.390
ECOR3,2023-01-06,-22.508,17.003,0.211,0.200,1.056,4.130,3,C,-0.445,1.754,-2.199,-0.223,2.796,-3.019,-4.677,-0.597,-4.080,,,,3.910,5.635
ECOR3,2023-01-09,-22.574,93.983,0.211,0.200,1.057,4.110,4,C,-4.251,0.114,-4.364,1.790,2.421,-0.631,-7.383,-0.095,-7.288,,,,3.930,4.696
ECOR3,2023-01-10,-19.301,52.835,0.220,0.201,1.097,4.350,5,C,-7.400,0.578,-7.978,-3.383,2.099,-5.482,-16.068,-2.874,-13.194,,,,3.960,9.898
ECOR3,2023-01-31,-21.728,36.591,0.190,0.213,0.891,4.180,2,C,-12.555,-5.226,-7.329,-14.097,-4.925,-9.172,-12.115,-9.013,-3.101,,,,4.150,0.676
ECOR3,2023-03-07,-18.897,26.981,0.165,0.179,0.921,3.770,2,C,12.439,-1.308,13.747,17.317,-2.944,20.261,23.902,-2.369,26.271,,,,3.720,1.523
ECOR3,2023-03-08,-12.805,102.827,0.174,0.178,0.977,4.140,3,C,1.111,-3.711,4.822,6.889,-5.997,12.886,19.111,-5.416,24.527,,,,3.730,10.933
ECOR3,2023-03-09,-8.452,23.915,0.179,0.178,1.009,4.270,4,C,2.155,-1.536,3.691,0.647,-6.873,7.519,17.241,-3.909,21.150,,,,3.760,13.447
ECOR3,2024-05-14,-13.838,14.891,0.218,0.218,1.001,6.870,2,C,2.782,-0.889,3.671,-1.808,-3.710,1.902,-12.378,-6.690,-5.688,,,,6.850,0.226
ECOR3,2024-05-21,-10.390,122.571,0.209,0.214,0.980,7.060,2,C,-4.465,-2.846,-1.620,-9.472,-4.689,-4.783,-17.050,-5.610,-11.440,,,,6.830,3.317
ECOR3,2024-05-22,-11.343,45.337,0.209,0.213,0.979,6.890,3,C,-3.329,-2.417,-0.912,-7.074,-2.187,-4.886,-15.257,-4.055,-11.202,,,,6.830,0.831
ECOR3,2024-06-25,-11.484,79.980,0.229,0.204,1.126,6.560,2,C,-2.038,2.044,-4.082,8.588,3.902,4.686,1.456,3.406,-1.951,,,,6.250,4.926
ECOR3,2024-07-08,-7.886,41.261,0.265,0.230,1.155,7.020,2,C,1.361,2.261,-0.901,-2.857,1.074,-3.931,-0.136,-0.952,0.816,,,,6.330,10.868
ECOR3,2024-07-09,-6.937,9.811,0.269,0.233,1.152,7.130,3,C,0.000,1.481,-1.481,-6.568,-0.478,-6.091,3.217,-0.648,3.865,,,,6.380,11.760
ECOR3,2024-08-01,-6.309,102.453,0.247,0.263,0.942,7.130,2,C,3.753,1.261,2.493,7.105,5.455,1.650,2.279,6.813,-4.534,,,,6.900,3.203
ECOR3,2024-10-14,-9.092,1.277,0.224,0.230,0.974,6.850,3,C,-0.139,-0.588,0.449,-0.279,0.267,-0.546,-5.718,-2.471,-3.248,,,,6.830,0.238
