entry_date,exit_date,dias,entry_price,exit_price,stop_inicial,shares,pnl,pnl_pct,saida,equity_pos
2023-05-08,2023-06-01,24,14.93,15.60,14.19,1451.01,966.99,4.46,trailing,109291.29
2023-11-22,2023-11-30,8,17.95,17.30,17.19,1217.82,-784.32,-3.59,trailing,108506.97
2024-01-08,2024-01-18,10,17.30,16.60,16.61,1254.59,-871.93,-4.02,stop,107635.03
2024-02-27,2024-04-15,48,17.41,19.03,16.70,1236.71,2012.14,9.35,trailing,109647.17
2024-11-29,2025-01-02,34,19.91,20.83,18.95,1101.54,1018.00,4.64,trailing,110665.17
2025-05-07,2025-05-28,21,17.39,17.57,16.61,1272.84,225.32,1.02,trailing,110890.49
2025-11-04,2025-11-18,14,17.21,16.82,16.61,1288.93,-493.24,-2.22,trailing,110397.25
2026-02-09,2026-02-26,17,19.82,20.82,18.92,1114.00,1114.00,5.05,fim_periodo,111511.25
2018-12-21,2019-01-15,25,23.30,23.19,21.84,683.46,-71.48,-0.45,trailing,99928.52
2019-02-14,2019-03-01,15,27.67,27.03,25.65,494.67,-314.39,-2.30,trailing,99614.13
2019-04-23,2019-05-17,24,27.49,28.14,25.75,573.63,370.18,2.35,trailing,99984.31
2019-06-11,2019-08-07,57,31.72,35.19,29.98,576.45,2000.56,10.94,trailing,101984.87
2019-11-28,2020-02-26,90,36.29,43.20,34.23,494.90,3421.00,19.05,trailing,105405.88
2020-05-27,2020-06-26,30,33.45,34.50,29.69,280.23,295.60,3.15,trailing,105701.47
2020-10-14,2020-10-30,16,52.97,52.10,49.16,277.13,-240.34,-1.64,trailing,105461.14
2021-04-08,2021-04-22,14,54.76,52.41,50.92,274.47,-645.18,-4.29,trailing,104815.95
2021-12-15,2021-12-23,8,51.25,47.43,47.08,251.22,-958.78,-7.45,trailing,103857.17
2022-02-15,2022-02-25,10,52.49,49.83,48.41,254.25,-676.23,-5.07,trailing,103180.95
2022-03-25,2022-04-08,14,52.70,50.17,48.43,241.43,-611.52,-4.81,trailing,102569.43
2022-08-03,2022-08-26,23,51.87,53.91,48.89,344.75,703.52,3.93,trailing,103272.95
2022-10-19,2022-10-26,7,60.98,55.86,56.94,255.81,-1307.76,-8.38,stop,101965.20
2023-01-25,2023-02-09,15,52.58,50.34,48.77,267.44,-598.68,-4.26,trailing,101366.52
2023-11-10,2024-01-02,53,51.44,55.99,48.52,346.42,1575.80,8.84,trailing,102942.32
2024-07-09,2024-07-18,9,41.29,40.40,38.74,404.68,-357.32,-2.14,trailing,102585.00
2024-10-24,2024-10-29,5,40.82,39.55,38.54,449.88,-569.92,-3.10,trailing,102015.08
2025-03-26,2025-05-14,49,33.10,38.25,30.77,437.79,2254.82,15.56,trailing,104269.90
2025-06-16,2025-06-20,4,43.34,41.67,40.43,357.81,-596.32,-3.85,trailing,103673.58
2025-09-04,2025-10-06,32,36.09,37.77,33.94,480.23,803.77,4.64,trailing,104477.35
2025-11-04,2025-12-16,42,40.42,44.76,38.33,500.84,2177.64,10.76,trailing,106654.99
2026-02-03,2026-02-26,23,50.65,50.94,47.47,335.82,97.39,0.57,fim_periodo,106752.38
2018-07-10,2018-08-02,23,18.41,18.38,17.05,734.83,-26.62,-0.20,trailing,99973.38
2018-10-02,2018-12-10,69,20.00,23.15,18.60,712.37,2242.00,15.73,trailing,102215.38
2019-01-24,2019-02-06,13,26.96,26.21,25.33,627.66,-468.29,-2.77,trailing,101747.09
2019-06-10,2019-07-19,39,30.11,31.77,28.28,553.66,915.92,5.49,trailing,102663.01
2019-12-04,2020-01-31,58,35.70,38.82,33.93,575.14,1796.79,8.75,trailing,104459.81
2020-06-02,2020-06-23,21,28.54,28.37,25.21,313.58,-55.24,-0.62,trailing,104404.57
2020-09-01,2020-09-11,10,30.86,29.25,28.43,429.74,-691.17,-5.21,trailing,103713.40
2021-03-19,2021-04-09,21,28.98,28.32,26.47,414.03,-274.04,-2.28,trailing,103439.36
2021-05-26,2021-06-16,21,31.67,32.10,29.57,492.95,210.41,1.35,trailing,103649.77
2021-11-11,2021-11-24,13,25.84,23.31,23.39,423.56,-1070.99,-9.78,stop,102578.78
2022-01-26,2022-02-07,12,21.25,19.67,19.38,549.57,-866.74,-7.42,trailing,101712.04
2022-04-01,2022-04-12,11,22.38,20.18,20.10,446.32,-982.96,-9.84,trailing,100729.08
2022-06-01,2022-06-09,8,20.75,19.42,19.23,666.37,-882.60,-6.38,trailing,99846.48
2023-05-17,2023-06-16,30,14.82,16.18,13.48,749.06,1019.33,9.18,trailing,100865.81
2023-11-22,2024-01-04,43,12.19,13.34,11.09,919.51,1058.32,9.44,trailing,101924.12
2024-03-13,2024-03-15,2,13.90,12.66,12.97,1091.50,-1354.80,-8.93,stop,100569.32
2025-01-30,2025-02-05,6,13.14,12.31,12.19,1059.27,-881.48,-6.33,trailing,99687.84
2025-04-02,2025-04-07,5,12.45,11.63,11.52,1073.78,-876.09,-6.55,trailing,98811.74
2025-11-27,2025-12-04,7,15.62,14.80,14.63,996.39,-823.43,-5.29,trailing,97988.31
2026-01-27,2026-02-26,30,15.23,16.12,14.21,965.40,859.21,5.84,fim_periodo,98847.52
2018-03-22,2018-04-10,19,25.42,25.29,23.54,531.00,-69.35,-0.51,trailing,99930.65
2018-08-02,2018-08-16,14,36.57,36.43,34.06,397.15,-58.38,-0.40,trailing,99872.28
2018-12-18,2019-01-15,28,47.01,47.45,44.04,335.79,148.18,0.94,trailing,100020.46
2019-06-10,2019-08-22,73,54.42,74.02,50.63,263.79,5170.81,36.02,trailing,105191.27
2019-10-04,2019-11-12,39,83.37,93.49,77.65,183.87,1859.27,12.13,trailing,107050.54
2019-12-10,2020-02-07,59,100.38,116.90,94.02,168.24,2779.81,16.46,trailing,109830.34
2020-04-16,2020-06-05,50,98.23,128.15,82.00,67.64,2023.69,30.46,trailing,111854.03
2020-08-27,2020-09-08,12,198.50,189.24,184.30,78.78,-729.37,-4.66,trailing,111124.66
2021-06-24,2021-07-01,7,187.09,178.79,175.60,96.76,-802.71,-4.43,trailing,110321.95
2021-07-14,2021-07-26,12,198.29,190.60,185.51,86.30,-664.23,-3.88,trailing,109657.72
2022-03-29,2022-04-08,10,60.53,53.01,52.57,137.68,-1035.85,-12.43,trailing,108621.87
2023-01-23,2023-02-10,18,34.94,34.50,29.95,217.69,-94.13,-1.24,trailing,108527.74
2023-12-13,2023-12-19,6,21.88,18.68,18.79,351.54,-1124.80,-14.62,stop,107402.95
2024-02-23,2024-03-06,12,19.88,19.05,17.73,499.97,-416.03,-4.19,trailing,106986.91
2024-07-05,2024-07-18,13,12.66,11.71,11.32,801.91,-756.25,-7.45,trailing,106230.66
2024-08-19,2024-08-29,10,12.87,11.92,11.52,788.05,-750.46,-7.40,trailing,105480.20
2025-02-17,2025-02-24,7,7.36,6.35,6.57,1332.78,-1343.15,-13.69,stop,104137.05
2025-06-03,2025-06-09,6,9.76,9.03,8.59,888.25,-651.38,-7.51,trailing,103485.67
2025-09-05,2025-09-30,25,8.83,9.14,8.08,1380.68,433.93,3.56,trailing,103919.60
2025-11-24,2025-12-10,16,9.43,9.51,8.53,1154.66,98.97,0.91,trailing,104018.57
2026-02-09,2026-02-24,15,10.97,10.13,9.94,1012.84,-850.79,-7.66,trailing,103167.78
2018-07-13,2018-08-10,28,9.85,10.00,9.27,1750.11,275.59,1.60,trailing,100275.59
2018-12-27,2019-01-18,22,10.32,9.82,9.67,1537.05,-771.42,-4.86,trailing,99504.17
2019-05-08,2019-05-17,9,12.70,12.59,11.99,1399.21,-154.73,-0.87,trailing,99349.44
2019-12-06,2020-01-10,35,17.12,19.25,15.92,833.97,1778.91,12.46,trailing,101128.35
2020-05-25,2020-07-24,60,15.16,17.65,13.53,619.89,1538.54,16.37,trailing,102666.89
2020-10-20,2020-10-28,8,17.43,15.98,16.24,861.61,-1249.15,-8.32,stop,101417.74
2021-04-09,2021-04-20,11,17.36,16.81,16.12,814.19,-448.21,-3.17,trailing,100969.52
2022-09-19,2022-09-27,8,12.56,11.57,11.28,789.53,-783.36,-7.90,trailing,100186.16
2023-05-05,2023-06-23,49,8.12,11.12,7.20,1091.35,3274.06,36.95,trailing,103460.22
2023-07-24,2023-08-09,16,13.98,13.75,12.58,741.65,-170.58,-1.65,trailing,103289.64
2023-11-14,2023-11-29,15,10.49,9.66,9.41,959.05,-796.01,-7.91,trailing,102493.63
2024-05-20,2024-05-23,3,7.54,6.96,6.97,1804.47,-1046.59,-7.69,stop,101447.04
