variacao,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,mrs,rsv
BASE,PSSA3,2025-05-09,2025-05-12,2025-05-19,5,45.42,47.69,5.00,2.27,2.73,take_profit,8,20.54,79.80
BASE,RADL3,2022-08-01,2022-08-02,2022-08-16,10,19.32,20.11,4.06,10.28,-6.21,time_stop,7,5.54,126.30
BASE,RADL3,2023-03-08,2023-03-09,2023-03-23,10,21.72,21.19,-2.44,-6.87,4.43,time_stop,8,10.08,31.55
BASE,RADL3,2023-04-12,2023-04-13,2023-04-28,10,23.68,23.71,0.15,-1.97,2.12,time_stop,8,15.18,73.25
BASE,RADL3,2024-05-14,2024-05-15,2024-05-29,10,25.61,24.48,-4.41,-4.11,-0.30,time_stop,5,-3.51,160.73
BASE,RADL3,2024-08-05,2024-08-06,2024-08-20,10,28.47,26.88,-5.58,7.90,-13.48,time_stop,7,13.84,25.97
BASE,RADL3,2026-02-03,2026-02-04,2026-02-20,10,26.68,26.49,-0.71,4.76,-5.48,time_stop,7,15.01,62.05
BASE,RAIZ4,2023-06-26,2023-06-27,2023-07-11,10,4.23,4.05,-4.27,0.03,-4.30,time_stop,6,18.77,168.42
BASE,RAPT4,2022-08-01,2022-08-02,2022-08-03,1,9.23,9.69,5.00,0.67,4.33,take_profit,8,8.69,90.26
BASE,RAPT4,2023-07-28,2023-07-31,2023-08-14,10,11.68,11.63,-0.48,-3.93,3.45,time_stop,7,26.74,390.29
BASE,RAPT4,2024-03-13,2024-03-14,2024-03-20,4,11.40,11.97,5.00,1.32,3.68,take_profit,6,-2.87,119.81
BASE,RAPT4,2024-07-01,2024-07-02,2024-07-04,2,10.93,11.48,5.00,1.06,3.94,take_profit,8,0.42,387.77
BASE,RDOR3,2024-05-07,2024-05-08,2024-05-17,7,26.25,27.56,5.00,-1.10,6.10,take_profit,7,5.76,315.82
BASE,RDOR3,2024-08-14,2024-08-15,2024-08-20,3,27.62,29.00,5.00,1.49,3.51,take_profit,8,9.46,97.02
BASE,RDOR3,2025-01-27,2025-01-28,2025-02-11,10,25.65,26.12,1.83,2.00,-0.17,time_stop,7,2.52,32.72
BASE,RDOR3,2025-05-08,2025-05-09,2025-05-15,4,30.39,31.90,5.00,2.12,2.88,take_profit,8,9.77,145.29
BASE,RDOR3,2025-08-07,2025-08-08,2025-08-18,6,32.96,34.60,5.00,1.07,3.93,take_profit,8,13.38,67.96
BASE,RDOR3,2025-09-18,2025-09-19,2025-10-03,10,37.84,38.24,1.05,-1.10,2.15,time_stop,7,18.31,48.01
BASE,RDOR3,2025-11-06,2025-11-07,2025-11-24,10,43.20,41.80,-3.23,1.03,-4.26,time_stop,7,23.00,99.86
BASE,RAIL3,2022-05-31,2022-06-01,2022-06-15,10,16.81,16.24,-3.39,-7.53,4.13,time_stop,6,2.40,445.36
BASE,RAIL3,2022-08-12,2022-08-15,2022-08-25,8,18.25,19.17,5.00,0.58,4.42,take_profit,8,9.43,48.88
BASE,RAIL3,2023-05-05,2023-05-08,2023-05-22,10,20.08,20.16,0.38,3.96,-3.58,time_stop,7,14.45,127.73
BASE,RAIL3,2023-06-01,2023-06-02,2023-06-19,10,21.17,21.11,-0.27,6.52,-6.79,time_stop,7,12.63,134.22
BASE,RAIL3,2023-09-13,2023-09-14,2023-09-28,10,22.37,21.73,-2.86,-2.95,0.09,time_stop,8,8.43,155.53
BASE,SBSP3,2022-03-31,2022-04-01,2022-04-04,1,41.47,43.54,5.00,-0.34,5.34,take_profit,7,20.39,313.63
BASE,SBSP3,2022-10-03,2022-10-04,2022-10-19,10,51.29,50.02,-2.49,0.00,-2.49,time_stop,7,25.05,346.37
BASE,SBSP3,2023-05-12,2023-05-15,2023-05-29,10,47.25,47.94,1.46,1.23,0.22,time_stop,6,2.12,37.44
BASE,SBSP3,2023-08-16,2023-08-17,2023-08-31,10,52.63,52.44,-0.36,0.85,-1.21,time_stop,6,4.54,164.12
BASE,SBSP3,2024-01-11,2024-01-12,2024-01-26,10,69.36,69.76,0.57,-1.69,2.26,time_stop,7,18.18,94.65
BASE,SBSP3,2025-03-19,2025-03-20,2025-04-03,10,94.58,97.27,2.85,-0.58,3.43,time_stop,8,8.35,19.38
BASE,SBSP3,2025-08-12,2025-08-13,2025-08-27,10,116.57,114.38,-1.88,1.90,-3.78,time_stop,8,14.89,72.07
BASE,SAPR11,2022-11-01,2022-11-03,2022-11-18,10,15.74,13.59,-13.70,-7.29,-6.40,time_stop,5,-0.12,110.19
BASE,SAPR11,2023-03-30,2023-03-31,2023-04-04,2,15.26,16.02,5.00,0.02,4.98,take_profit,7,10.14,62.76
BASE,SAPR11,2023-08-11,2023-08-14,2023-08-28,10,19.50,20.10,3.06,0.17,2.90,time_stop,8,15.03,79.38
BASE,SAPR11,2023-10-13,2023-10-16,2023-10-30,10,20.95,19.69,-6.00,-3.52,-2.47,time_stop,8,18.34,323.45
BASE,SAPR11,2024-09-05,2024-09-06,2024-09-10,2,27.51,28.88,5.00,-0.25,5.25,take_profit,6,4.82,177.33
BASE,SAPR11,2024-09-10,2024-09-11,2024-09-25,10,29.87,27.64,-7.47,-2.51,-4.97,time_stop,7,14.19,312.24
BASE,SAPR11,2024-11-27,2024-11-28,2024-11-29,1,25.62,26.90,5.00,0.84,4.16,take_profit,5,3.80,26.22
BASE,SAPR11,2024-11-29,2024-12-02,2024-12-05,3,27.95,29.35,5.00,2.16,2.84,take_profit,7,14.24,55.55
