time_stop,combo,ticker,data_entrada,data_saida,dias,mrs_entrada,cruzamentos,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo
10,TS10d,TIMS3,2026-01-13,2026-01-20,5,-4.809,3,22.440,23.560,5.000,2.420,2.580,take_profit
10,TS10d,TIMS3,2026-01-22,2026-02-05,10,-4.196,4,24.070,25.270,5.000,3.421,1.579,take_profit
5,TS5d,TOTS3,2022-09-08,2022-09-14,4,-4.189,6,26.670,28.000,5.000,0.537,4.463,take_profit
5,TS5d,TOTS3,2022-12-07,2022-12-14,5,-4.969,9,26.590,24.830,-6.633,-4.631,-2.002,time_stop
5,TS5d,TOTS3,2022-12-20,2022-12-21,1,-4.977,7,25.210,26.480,5.000,0.309,4.691,take_profit
5,TS5d,TOTS3,2023-01-09,2023-01-10,1,-4.727,4,26.110,27.420,5.000,1.737,3.263,take_profit
5,TS5d,TOTS3,2024-02-15,2024-02-22,5,-4.139,8,29.350,30.800,4.919,1.806,3.113,time_stop
5,TS5d,TOTS3,2025-11-24,2025-12-01,5,-4.774,7,43.170,43.160,-0.023,2.068,-2.091,time_stop
7,TS7d,TOTS3,2022-09-08,2022-09-14,4,-4.189,6,26.670,28.000,5.000,0.537,4.463,take_profit
7,TS7d,TOTS3,2022-12-07,2022-12-16,7,-4.969,9,26.590,24.110,-9.308,-5.862,-3.446,time_stop
7,TS7d,TOTS3,2022-12-20,2022-12-21,1,-4.977,7,25.210,26.480,5.000,0.309,4.691,take_profit
7,TS7d,TOTS3,2023-01-09,2023-01-10,1,-4.727,4,26.110,27.420,5.000,1.737,3.263,take_profit
7,TS7d,TOTS3,2024-02-15,2024-02-26,7,-4.139,8,29.350,30.550,4.061,1.378,2.683,time_stop
7,TS7d,TOTS3,2025-11-24,2025-12-03,7,-4.774,7,43.170,44.160,2.285,3.971,-1.686,time_stop
10,TS10d,TOTS3,2022-09-08,2022-09-14,4,-4.189,6,26.670,28.000,5.000,0.537,4.463,take_profit
10,TS10d,TOTS3,2022-12-07,2022-12-21,10,-4.969,9,26.590,26.940,1.320,-1.629,2.949,time_stop
10,TS10d,TOTS3,2023-01-09,2023-01-10,1,-4.727,4,26.110,27.420,5.000,1.737,3.263,take_profit
10,TS10d,TOTS3,2024-02-15,2024-02-29,10,-4.139,8,29.350,29.740,1.321,0.959,0.362,time_stop
10,TS10d,TOTS3,2025-11-24,2025-12-04,8,-4.774,7,43.170,45.330,5.000,5.868,-0.868,take_profit
5,TS5d,UGPA3,2022-07-08,2022-07-15,5,-4.541,5,10.400,10.340,-0.586,-3.726,3.140,time_stop
5,TS5d,UGPA3,2022-09-16,2022-09-23,5,-4.873,3,11.160,10.960,-1.795,2.121,-3.916,time_stop
5,TS5d,UGPA3,2022-12-27,2023-01-04,5,-4.959,3,10.820,10.490,-3.060,-2.841,-0.219,time_stop
5,TS5d,UGPA3,2024-06-07,2024-06-14,5,-4.710,5,20.480,19.620,-4.185,-0.777,-3.408,time_stop
7,TS7d,UGPA3,2022-07-08,2022-07-19,7,-4.541,5,10.400,10.470,0.586,-2.250,2.836,time_stop
