ticker,data,mrs,rsv,atr_ratio,close,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,dias_mrs,dias_rsv,mrs_recuo
HAPV3,2024-08-02,6.911,-19.834,0.992,64.500,I,3.023,3.881,-0.858,-0.698,6.463,-7.161,-1.395,8.351,-9.746,,,3.512
HAPV3,2024-09-18,10.176,16.454,0.823,69.900,I,-11.588,-1.638,-9.950,-11.159,-0.154,-11.005,-17.382,-1.522,-15.859,,,7.936
HYPE3,2022-02-14,2.896,0.278,1.028,27.510,I,-0.777,-1.890,1.113,3.700,1.443,2.258,4.726,-2.173,6.899,,,-1.195
HYPE3,2022-04-08,18.388,63.856,0.951,33.560,I,-0.668,-2.211,1.543,-5.524,-8.510,2.986,-9.044,-12.932,3.888,,,16.907
HYPE3,2022-04-11,20.907,215.933,0.995,33.880,I,-3.613,-1.466,-2.147,-5.776,-6.263,0.487,-8.244,-10.598,2.354,,,18.388
HYPE3,2022-06-01,28.831,560.628,1.024,36.010,I,-4.382,-2.671,-1.712,-7.711,-7.528,-0.183,-8.187,-11.603,3.416,,,20.161
HYPE3,2022-07-06,35.384,100.523,1.019,34.850,I,-1.546,-0.954,-0.592,-2.219,-0.493,-1.727,7.332,5.009,2.322,,,27.889
HYPE3,2022-07-19,35.338,-20.367,0.966,35.200,I,-3.086,1.531,-4.618,5.259,5.100,0.159,3.556,15.903,-12.347,,,34.466
HYPE3,2022-07-29,33.461,112.987,0.992,37.010,I,0.376,3.464,-3.089,-0.188,9.406,-9.594,1.573,9.124,-7.551,,,27.464
HYPE3,2022-08-22,19.792,-40.912,0.999,36.880,I,2.592,1.565,1.027,2.851,1.612,1.240,4.194,1.986,2.208,,,17.225
HYPE3,2022-09-19,18.011,70.280,0.961,38.160,I,3.074,-2.855,5.930,4.682,3.863,0.819,10.071,3.437,6.633,,,16.157
HYPE3,2022-09-21,20.404,7.341,0.932,39.070,I,-1.423,-3.088,1.665,3.693,4.771,-1.078,8.530,4.382,4.148,,,17.918
HYPE3,2022-09-23,22.865,11.207,0.960,39.920,I,-3.012,-1.280,-1.733,0.670,4.581,-3.911,5.273,3.987,1.285,,,18.246
HYPE3,2022-10-05,16.728,-4.427,0.999,40.510,I,-0.497,-2.700,2.204,4.665,-0.371,5.036,3.888,0.600,3.288,,,15.716
HYPE3,2023-01-11,5.012,10.393,0.968,39.670,I,-1.221,-0.706,-0.516,-1.643,1.421,-3.064,0.178,-2.530,2.707,,,2.781
HYPE3,2023-01-27,3.625,3.986,0.987,39.360,I,0.493,-3.256,3.749,1.858,-3.367,5.225,-6.761,-6.688,-0.072,,,0.472
HYPE3,2023-02-03,7.077,-33.388,0.969,39.550,I,1.359,-0.114,1.473,-1.849,0.658,-2.507,-6.906,-3.786,-3.120,,,6.017
HYPE3,2023-02-06,7.103,15.635,0.972,39.740,I,0.643,0.209,0.434,-2.926,-1.568,-1.358,-6.185,-1.929,-4.256,,,7.077
HYPE3,2023-02-10,8.099,36.910,0.907,40.090,I,-3.165,0.773,-3.938,-8.462,-3.437,-5.025,-10.615,-4.936,-5.680,,,7.051
HYPE3,2023-02-14,7.222,1.203,0.893,39.720,I,-2.174,-0.268,-1.906,-7.320,-4.300,-3.021,-7.786,-4.242,-3.544,,,7.023
HYPE3,2023-02-16,7.832,-11.715,0.920,40.820,I,-8.051,-3.953,-4.098,-8.483,-4.723,-3.760,-11.915,-8.263,-3.652,,,6.810
HYPE3,2025-06-09,12.671,-68.745,0.975,25.020,I,9.564,2.516,7.048,7.983,1.010,6.973,7.461,2.577,4.884,,,12.543
HYPE3,2025-06-10,15.121,-51.688,0.997,25.660,I,4.551,1.627,2.923,2.896,-0.600,3.496,3.121,0.570,2.551,,,12.671
HYPE3,2025-07-01,18.955,-8.554,0.955,27.020,I,-0.505,-0.271,-0.234,-1.840,-3.040,1.199,-6.893,-5.142,-1.751,,,17.288
HYPE3,2025-07-18,18.998,-59.854,0.907,25.770,I,-0.606,0.115,-0.721,-2.044,-0.560,-1.484,-13.626,2.502,-16.128,,,18.448
IGTI11,2022-10-21,2.776,-23.647,0.988,20.280,I,-5.898,-0.241,-5.657,-3.332,1.426,-4.758,-17.290,2.889,-20.179,,,2.734
IGTI11,2022-10-24,2.855,-43.813,1.015,19.560,I,2.287,-0.843,3.129,-1.493,1.328,-2.822,-14.886,1.713,-16.599,,,2.776
