estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,B,mrs,vol_ratio,contracao
B,ECOR3,2026-01-23,2026-01-26,2026-02-09,10,12.16,10.82,-11.02,4.27,-15.29,time_stop,7,2,23.45,2.74,0.99
B,ENGI11,2022-07-29,2022-08-01,2022-08-08,5,33.32,34.98,5.00,6.33,-1.33,take_profit,7,2,6.93,2.12,0.61
B,ENGI11,2023-09-15,2023-09-18,2023-10-02,10,40.93,37.08,-9.41,-2.76,-6.66,time_stop,8,2,10.47,3.87,0.98
B,ENEV3,2023-07-24,2023-07-25,2023-08-08,10,13.28,12.77,-3.84,-2.30,-1.54,time_stop,5,2,-1.04,2.21,0.76
B,ENEV3,2024-08-14,2024-08-15,2024-08-29,10,13.53,13.33,-1.48,1.29,-2.77,time_stop,7,2,0.78,2.71,0.78
B,ENEV3,2025-05-07,2025-05-08,2025-05-19,7,14.00,14.70,5.00,2.54,2.46,take_profit,9,2,6.32,2.69,0.34
B,ENEV3,2025-08-25,2025-08-26,2025-09-09,10,15.06,15.31,1.66,2.71,-1.05,time_stop,8,2,12.00,2.09,0.81
B,ENEV3,2025-10-24,2025-10-27,2025-11-03,5,17.70,18.59,5.00,2.34,2.66,take_profit,7,2,17.66,2.76,0.81
B,ENEV3,2025-11-26,2025-11-27,2025-12-11,10,20.24,20.22,-0.10,0.56,-0.66,time_stop,7,2,21.18,2.21,0.60
B,ENEV3,2026-01-21,2026-01-22,2026-02-05,10,21.79,21.58,-0.96,3.42,-4.39,time_stop,7,2,13.15,2.42,0.59
B,EGIE3,2023-11-22,2023-11-23,2023-12-07,10,28.11,27.69,-1.50,-0.48,-1.02,time_stop,7,2,-3.48,2.39,0.31
B,EGIE3,2025-06-24,2025-06-25,2025-06-30,3,30.06,31.56,5.00,2.49,2.51,take_profit,7,2,6.80,2.63,0.98
B,EQTL3,2022-03-18,2022-03-21,2022-04-04,10,23.67,24.32,2.74,4.34,-1.60,time_stop,7,2,9.52,2.00,0.57
B,EQTL3,2022-09-23,2022-09-26,2022-10-03,5,24.32,25.54,5.00,6.92,-1.92,take_profit,8,2,9.35,3.57,0.95
B,EQTL3,2023-09-13,2023-09-14,2023-09-28,10,30.66,29.68,-3.19,-2.95,-0.24,time_stop,8,2,8.91,2.40,1.00
B,EQTL3,2023-12-20,2023-12-21,2024-01-09,10,32.78,32.28,-1.55,-0.59,-0.96,time_stop,7,2,0.44,2.30,0.99
B,EQTL3,2025-11-03,2025-11-04,2025-11-10,4,35.97,37.77,5.00,3.20,1.80,take_profit,6,2,-1.50,2.29,0.80
B,EQTL3,2026-01-22,2026-01-23,2026-02-06,10,40.45,40.89,1.09,2.01,-0.93,time_stop,6,2,-7.30,2.23,0.96
B,EZTC3,2023-07-25,2023-07-26,2023-08-03,6,14.20,14.91,5.00,-1.71,6.71,take_profit,6,2,22.93,2.27,0.56
B,EZTC3,2024-11-01,2024-11-04,2024-11-19,10,10.38,10.23,-1.47,-1.79,0.31,time_stop,6,2,4.08,5.05,0.91
B,EZTC3,2025-03-14,2025-03-17,2025-03-31,10,11.23,11.05,-1.62,-0.36,-1.26,time_stop,7,2,20.40,3.61,0.77
B,EZTC3,2025-08-01,2025-08-04,2025-08-07,3,10.22,10.73,5.00,2.71,2.29,take_profit,8,2,5.53,2.03,0.90
B,EZTC3,2025-09-09,2025-09-10,2025-09-15,3,11.96,12.56,5.00,0.93,4.07,take_profit,8,2,13.71,2.12,0.62
B,EZTC3,2025-09-17,2025-09-18,2025-10-02,10,13.11,12.11,-7.64,-1.08,-6.56,time_stop,9,2,20.75,2.46,0.34
B,EZTC3,2025-10-29,2025-10-30,2025-11-07,6,13.41,14.08,5.00,3.50,1.50,take_profit,7,2,18.03,2.12,0.62
B,EZTC3,2025-11-14,2025-11-17,2025-11-28,8,15.01,15.76,5.00,1.34,3.66,take_profit,8,2,19.99,2.16,0.40
B,FLRY3,2022-09-23,2022-09-26,2022-10-06,8,13.83,14.52,5.00,7.93,-2.93,take_profit,7,2,9.38,2.18,0.66
B,FLRY3,2023-10-03,2023-10-04,2023-10-19,10,13.34,12.60,-5.56,0.38,-5.94,time_stop,7,2,7.41,2.59,0.66
B,FLRY3,2023-11-10,2023-11-13,2023-11-28,10,14.09,14.20,0.77,5.05,-4.28,time_stop,8,2,6.24,2.13,0.53
B,FLRY3,2023-12-15,2023-12-18,2024-01-04,10,15.58,14.73,-5.43,0.06,-5.49,time_stop,8,2,7.42,2.35,0.71
B,FLRY3,2024-08-09,2024-08-12,2024-08-26,10,13.65,13.97,2.36,4.36,-1.99,time_stop,5,2,-1.88,4.13,1.00
B,FLRY3,2025-07-21,2025-07-22,2025-08-05,10,13.28,13.15,-0.97,-0.75,-0.22,time_stop,7,2,12.40,5.48,0.96
B,FLRY3,2025-09-19,2025-09-22,2025-10-06,10,14.93,15.03,0.70,-0.93,1.63,time_stop,8,2,15.66,2.86,0.41
B,GGBR4,2022-03-03,2022-03-04,2022-03-10,4,16.98,17.83,5.00,-0.91,5.91,take_profit,6,2,3.94,2.05,0.84
B,GGBR4,2022-11-09,2022-11-10,2022-11-11,1,17.73,18.62,5.00,2.31,2.69,take_profit,7,2,7.65,2.21,0.86
B,GGBR4,2022-11-11,2022-11-14,2022-11-29,10,20.02,21.02,5.00,-1.79,6.79,take_profit,7,2,18.66,2.36,0.80
B,GGBR4,2022-11-30,2022-12-01,2022-12-15,10,21.63,20.72,-4.24,-6.13,1.88,time_stop,7,2,28.15,2.18,0.42
B,GGBR4,2023-07-25,2023-07-26,2023-08-09,10,21.42,19.14,-10.64,-3.40,-7.24,time_stop,6,2,0.89,2.22,0.54
B,GGBR4,2024-11-06,2024-11-07,2024-11-25,10,18.71,19.48,4.14,-0.31,4.45,time_stop,8,2,9.10,3.26,0.91
B,GGBR4,2025-06-09,2025-06-10,2025-06-25,10,17.39,15.43,-11.25,-0.60,-10.65,time_stop,5,2,-2.69,2.05,0.74
B,GGBR4,2026-01-22,2026-01-23,2026-02-06,10,22.66,21.85,-3.56,2.01,-5.57,time_stop,7,2,9.93,2.06,0.56
B,GOAU4,2022-03-18,2022-03-21,2022-04-04,10,6.62,6.59,-0.41,4.34,-4.75,time_stop,8,2,7.40,2.03,0.44
B,GOAU4,2022-11-09,2022-11-10,2022-11-11,1,6.96,7.31,5.00,2.31,2.69,take_profit,7,2,11.23,2.35,0.88
B,GOAU4,2023-06-14,2023-06-15,2023-06-29,10,7.51,7.41,-1.40,-0.42,-0.98,time_stop,5,2,-4.34,2.25,0.52
B,GOAU4,2023-07-25,2023-07-26,2023-08-09,10,8.40,7.64,-9.02,-3.40,-5.61,time_stop,6,2,1.61,2.05,0.55
B,GOAU4,2023-11-14,2023-11-16,2023-11-30,10,7.62,7.06,-7.41,2.16,-9.57,time_stop,5,2,-7.30,2.04,0.51
B,GOAU4,2024-07-15,2024-07-16,2024-07-30,10,7.73,7.37,-4.54,-2.12,-2.42,time_stop,6,2,4.66,2.34,0.59
B,GOAU4,2024-11-06,2024-11-07,2024-11-25,10,7.98,8.00,0.29,-0.31,0.60,time_stop,8,2,8.26,2.94,0.95
B,GOAU4,2025-10-29,2025-10-30,2025-11-13,10,8.06,8.08,0.25,5.77,-5.51,time_stop,8,2,9.17,2.17,0.49
B,GOAU4,2026-01-13,2026-01-14,2026-01-22,6,9.44,9.92,5.00,6.47,-1.47,take_profit,8,2,16.18,2.06,0.41
B,GOAU4,2026-01-22,2026-01-23,2026-02-06,10,10.10,9.82,-2.76,2.01,-4.77,time_stop,7,2,14.59,2.08,0.60
B,GGPS3,2023-05-05,2023-05-08,2023-05-11,3,11.32,11.88,5.00,2.27,2.73,take_profit,7,2,10.81,2.93,0.87
B,GGPS3,2023-05-11,2023-05-12,2023-05-25,9,11.95,12.55,5.00,1.43,3.57,take_profit,7,2,14.61,2.40,0.72
B,GGPS3,2023-06-30,2023-07-03,2023-07-17,10,14.45,14.57,0.82,-1.06,1.88,time_stop,6,2,22.99,2.63,0.76
B,GGPS3,2023-11-14,2023-11-16,2023-11-28,8,14.67,15.40,5.00,1.46,3.54,take_profit,7,2,4.56,2.17,0.60
B,GGPS3,2024-03-28,2024-04-01,2024-04-15,10,17.70,16.46,-6.98,-1.41,-5.57,time_stop,9,2,11.19,3.64,0.47
B,GGPS3,2025-08-13,2025-08-14,2025-08-27,9,14.32,15.04,5.00,2.13,2.87,take_profit,6,2,3.66,3.65,0.92
B,HAPV3,2023-08-10,2023-08-11,2023-08-25,10,78.60,68.85,-12.40,-1.84,-10.57,time_stop,7,2,16.04,3.41,0.63
B,HAPV3,2023-09-29,2023-10-02,2023-10-17,10,70.35,58.95,-16.20,0.76,-16.97,time_stop,7,2,12.81,2.35,0.95
B,HAPV3,2024-05-14,2024-05-15,2024-05-29,10,67.35,62.25,-7.57,-4.11,-3.46,time_stop,6,2,2.44,2.84,0.51
B,HAPV3,2025-08-14,2025-08-15,2025-08-27,8,37.69,39.57,5.00,1.98,3.02,take_profit,6,2,-3.42,3.38,0.49
B,HYPE3,2022-02-25,2022-03-02,2022-03-16,10,28.89,28.81,-0.30,-3.56,3.27,time_stop,7,2,7.64,2.80,0.62
B,HYPE3,2022-06-01,2022-06-02,2022-06-17,10,36.21,32.92,-9.10,-11.27,2.17,time_stop,7,2,28.83,3.53,0.58
B,HYPE3,2022-07-29,2022-08-01,2022-08-15,10,36.98,36.31,-1.81,10.56,-12.37,time_stop,7,2,33.46,2.27,0.58
B,HYPE3,2022-10-19,2022-10-20,2022-11-04,10,42.91,42.09,-1.92,0.97,-2.89,time_stop,7,2,21.63,2.62,0.60
B,HYPE3,2023-06-09,2023-06-12,2023-06-26,10,40.67,38.48,-5.37,0.69,-6.06,time_stop,6,2,0.62,7.10,0.51
B,HYPE3,2025-04-24,2025-04-25,2025-05-12,10,22.57,22.33,-1.07,1.44,-2.51,time_stop,5,2,-0.21,3.35,0.89
B,HYPE3,2025-10-29,2025-10-30,2025-10-31,1,23.94,25.14,5.00,0.49,4.51,take_profit,5,2,-0.66,2.95,0.51
B,IGTI11,2023-03-15,2023-03-16,2023-03-30,10,18.09,18.29,1.12,0.47,0.65,time_stop,7,2,7.02,2.12,0.61
B,IGTI11,2023-12-14,2023-12-15,2024-01-03,10,22.80,22.90,0.41,2.15,-1.74,time_stop,6,2,1.83,2.04,0.57
B,IGTI11,2024-03-13,2024-03-14,2024-03-28,10,22.59,21.85,-3.28,0.41,-3.69,time_stop,7,2,4.18,2.12,0.60
B,IGTI11,2025-05-08,2025-05-09,2025-05-20,7,21.04,22.09,5.00,2.70,2.30,take_profit,8,2,3.66,2.12,0.34
B,IGTI11,2025-08-28,2025-08-29,2025-09-12,10,23.19,23.61,1.80,0.51,1.29,time_stop,8,2,8.93,2.08,0.59
B,IGTI11,2025-11-05,2025-11-06,2025-11-21,10,25.32,25.29,-0.12,1.23,-1.35,time_stop,9,2,5.78,2.29,0.45
B,IGTI11,2026-01-22,2026-01-23,2026-02-06,10,27.37,28.47,4.03,2.01,2.02,time_stop,7,2,-3.58,2.55,0.42
