variacao,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,mrs,rsv
H2,B3SA3,2025-03-13,2025-03-14,2025-03-17,1,11.22,11.78,5.00,1.60,3.40,take_profit,7,8.75,120.38
H2,B3SA3,2025-05-08,2025-05-09,2025-05-23,10,13.75,13.84,0.63,0.92,-0.29,time_stop,6,20.78,291.09
H2,BBSE3,2022-03-18,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,10.83,78.87
H2,BBSE3,2022-05-31,2022-06-01,2022-06-15,10,18.00,16.67,-7.36,-7.53,0.16,time_stop,8,22.56,329.13
H2,BBSE3,2022-07-14,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,30.42,55.52
H2,BBSE3,2022-09-16,2022-09-19,2022-10-03,10,20.36,18.96,-6.88,3.86,-10.74,time_stop,8,22.14,78.15
H2,BBSE3,2024-12-03,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7.37,118.03
H2,BBSE3,2025-01-15,2025-01-16,2025-01-30,10,30.91,31.97,3.46,4.75,-1.29,time_stop,8,14.49,45.82
H2,BBDC3,2024-08-05,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,1.19,195.23
H2,BBDC3,2025-05-08,2025-05-09,2025-05-23,10,12.44,12.61,1.42,0.92,0.50,time_stop,7,10.64,257.46
H2,BBDC3,2025-05-28,2025-05-29,2025-06-12,10,13.05,13.33,2.13,-0.52,2.64,time_stop,8,12.53,247.32
H2,BBDC3,2026-01-21,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,2.41,13.28
H2,BBDC4,2022-08-05,2022-08-08,2022-08-12,4,13.88,14.57,5.00,3.66,1.34,take_profit,6,1.18,19.08
H2,BBDC4,2022-10-03,2022-10-04,2022-10-19,10,16.15,15.03,-6.91,0.00,-6.91,time_stop,8,5.63,9.72
H2,BBDC4,2024-02-06,2024-02-07,2024-02-23,10,12.87,11.58,-9.97,-0.44,-9.52,time_stop,7,1.04,184.55
H2,BBDC4,2024-08-06,2024-08-07,2024-08-13,4,12.36,12.97,5.00,3.82,1.18,take_profit,6,2.65,160.41
H2,BBDC4,2025-05-08,2025-05-09,2025-05-23,10,14.06,14.64,4.13,0.92,3.20,time_stop,7,12.01,398.01
H2,BBDC4,2026-01-21,2026-01-22,2026-01-23,1,19.76,20.75,5.00,1.71,3.29,take_profit,7,2.39,88.68
H2,BRAP4,2022-11-11,2022-11-14,2022-11-29,10,17.52,18.39,5.00,-1.79,6.79,take_profit,6,4.26,90.58
H2,BRAP4,2025-10-31,2025-11-03,2025-11-17,10,16.59,17.05,2.81,4.36,-1.54,time_stop,7,2.09,25.15
H2,BRAP4,2025-12-15,2025-12-16,2026-01-05,10,19.89,20.37,2.42,2.17,0.26,time_stop,7,13.09,516.41
H2,BBAS3,2022-02-11,2022-02-14,2022-02-15,1,11.92,12.52,5.00,0.99,4.01,take_profit,7,11.38,68.54
H2,BBAS3,2022-02-15,2022-02-16,2022-03-04,10,12.56,12.39,-1.33,-0.33,-0.99,time_stop,7,15.50,323.61
H2,BBAS3,2022-08-11,2022-08-12,2022-08-26,10,15.85,15.99,0.87,-0.26,1.13,time_stop,7,26.98,190.89
H2,BBAS3,2022-10-03,2022-10-04,2022-10-19,10,16.26,16.12,-0.88,0.00,-0.88,time_stop,8,14.89,76.81
H2,BBAS3,2023-01-17,2023-01-18,2023-01-20,2,15.23,15.99,5.00,0.11,4.89,take_profit,7,5.38,66.64
H2,BBAS3,2023-01-20,2023-01-23,2023-02-06,10,16.04,15.78,-1.62,-2.46,0.83,time_stop,7,10.88,107.40
H2,BBAS3,2023-02-14,2023-02-15,2023-03-03,10,16.72,15.45,-7.59,-5.31,-2.28,time_stop,7,16.90,290.52
H2,BBAS3,2023-04-12,2023-04-13,2023-04-28,10,17.57,17.66,0.52,-1.97,2.49,time_stop,8,19.66,139.15
H2,BBAS3,2023-06-12,2023-06-13,2023-06-21,6,20.76,21.80,5.00,2.95,2.05,take_profit,7,21.98,134.28
H2,BBAS3,2023-10-06,2023-10-09,2023-10-24,10,21.00,21.22,1.03,-1.34,2.37,time_stop,8,14.43,183.87
H2,BRKM5,2023-06-12,2023-06-13,2023-06-15,2,27.50,28.88,5.00,2.18,2.82,take_profit,6,1.07,161.03
H2,BRKM5,2023-06-15,2023-06-16,2023-06-30,10,29.99,27.86,-7.10,-0.64,-6.47,time_stop,7,8.49,77.81
H2,BRKM5,2024-03-20,2024-03-21,2024-04-05,10,26.36,25.72,-2.43,-1.18,-1.25,time_stop,7,16.61,245.60
H2,BRAV3,2022-04-29,2022-05-03,2022-05-17,10,43.99,43.17,-1.86,2.12,-3.99,time_stop,7,31.23,173.93
H2,BRAV3,2022-10-04,2022-10-05,2022-10-20,10,42.00,44.10,5.00,-0.37,5.37,take_profit,6,3.13,132.81
H2,BRAV3,2023-01-11,2023-01-12,2023-01-19,5,44.88,47.12,5.00,0.79,4.21,take_profit,7,10.56,288.25
H2,BPAC11,2022-08-10,2022-08-11,2022-08-25,10,23.70,23.53,-0.73,3.51,-4.24,time_stop,7,11.59,63.20
H2,BPAC11,2023-04-12,2023-04-13,2023-04-28,10,21.41,21.64,1.08,-1.97,3.05,time_stop,6,1.28,65.58
H2,BPAC11,2024-11-12,2024-11-13,2024-11-29,10,32.29,28.99,-10.20,-1.62,-8.58,time_stop,6,0.53,138.61
H2,BPAC11,2025-05-08,2025-05-09,2025-05-23,10,38.83,38.63,-0.53,0.92,-1.45,time_stop,8,15.79,100.97
H2,BPAC11,2025-08-12,2025-08-13,2025-08-27,10,44.45,43.49,-2.16,1.90,-4.06,time_stop,7,23.72,188.50
H2,BPAC11,2025-11-11,2025-11-12,2025-11-27,10,51.81,52.02,0.40,0.57,-0.17,time_stop,7,13.32,33.16
H2,BPAC11,2026-01-21,2026-01-22,2026-01-27,3,57.99,60.89,5.00,3.18,1.82,take_profit,7,9.07,16.71
H2,CXSE3,2022-08-16,2022-08-17,2022-08-31,10,6.71,6.65,-0.87,-3.78,2.91,time_stop,7,11.57,310.05
H2,CXSE3,2023-04-06,2023-04-10,2023-04-12,2,6.88,7.22,5.00,4.75,0.25,take_profit,8,19.43,323.04
H2,CXSE3,2023-04-12,2023-04-13,2023-04-28,10,7.45,7.58,1.66,-1.97,3.63,time_stop,8,21.70,64.57
H2,CXSE3,2023-07-27,2023-07-28,2023-08-11,10,8.43,8.63,2.37,-1.95,4.32,time_stop,8,10.97,185.29
H2,CXSE3,2024-01-22,2024-01-23,2024-01-24,1,11.69,12.28,5.00,-0.47,5.47,take_profit,8,22.82,84.02
H2,CXSE3,2024-08-30,2024-09-02,2024-09-16,10,14.41,13.45,-6.69,0.21,-6.90,time_stop,8,10.31,473.58
H2,CXSE3,2024-12-10,2024-12-11,2024-12-27,10,14.19,13.07,-7.91,-7.38,-0.53,time_stop,7,10.18,215.00
H2,CXSE3,2025-03-06,2025-03-07,2025-03-21,10,14.60,13.86,-5.03,5.76,-10.80,time_stop,8,15.01,152.39
H2,BHIA3,2025-03-10,2025-03-11,2025-03-12,1,4.77,5.01,5.00,0.16,4.84,take_profit,6,5.00,624.65
H2,BHIA3,2025-03-19,2025-03-20,2025-03-21,1,7.16,7.52,5.00,0.10,4.90,take_profit,6,50.21,210.53
H2,BHIA3,2025-09-01,2025-09-02,2025-09-16,10,5.16,4.32,-16.28,2.72,-19.00,time_stop,6,17.11,387.83
H2,CBAV3,2023-01-18,2023-01-19,2023-02-02,10,11.90,10.98,-7.76,-2.58,-5.19,time_stop,7,1.33,48.44
H2,CBAV3,2024-04-09,2024-04-10,2024-04-24,10,5.04,5.03,-0.20,-2.56,2.36,time_stop,7,8.07,29.55
H2,CBAV3,2024-09-24,2024-09-25,2024-10-02,5,5.33,5.60,5.00,1.51,3.49,take_profit,6,1.05,100.82
H2,CBAV3,2024-10-04,2024-10-07,2024-10-21,10,6.25,5.78,-7.52,-1.32,-6.20,time_stop,8,15.35,206.96
H2,CBAV3,2025-02-11,2025-02-12,2025-02-20,6,5.63,5.91,5.00,2.66,2.34,take_profit,6,0.90,40.82
H2,CEAB3,2023-03-06,2023-03-07,2023-03-08,1,2.62,2.75,5.00,2.30,2.70,take_profit,7,7.76,114.86
H2,CEAB3,2023-05-12,2023-05-15,2023-05-17,2,3.55,3.72,5.00,0.51,4.49,take_profit,6,35.41,6.71
H2,CEAB3,2023-08-11,2023-08-14,2023-08-28,10,6.14,5.19,-15.52,0.17,-15.69,time_stop,7,83.62,139.95
H2,CEAB3,2023-11-10,2023-11-13,2023-11-16,2,6.61,6.94,5.00,3.54,1.46,take_profit,7,55.17,256.20
H2,CEAB3,2023-11-16,2023-11-17,2023-12-01,10,7.42,7.79,5.00,2.59,2.41,take_profit,7,64.16,61.03
H2,CEAB3,2024-02-29,2024-03-01,2024-03-08,5,8.59,9.02,5.00,-1.58,6.58,take_profit,8,40.96,73.66
H2,CEAB3,2024-04-04,2024-04-05,2024-04-19,10,10.92,9.83,-9.99,-1.12,-8.87,time_stop,7,68.12,31.27
H2,CEAB3,2024-10-11,2024-10-14,2024-10-16,2,10.26,10.77,5.00,0.45,4.55,take_profit,7,13.72,173.40
H2,CEAB3,2024-10-25,2024-10-28,2024-11-06,7,11.86,12.45,5.00,-1.20,6.20,take_profit,7,30.33,158.48
H2,CEAB3,2025-05-08,2025-05-09,2025-05-12,1,13.93,14.62,5.00,0.11,4.89,take_profit,7,35.65,110.85
H2,CEAB3,2025-11-05,2025-11-06,2025-11-21,10,16.61,16.42,-1.16,1.23,-2.39,time_stop,7,4.01,141.13
H2,CMIG4,2022-03-18,2022-03-21,2022-03-24,3,4.66,4.89,5.00,2.50,2.50,take_profit,7,8.49,82.80
H2,CMIG4,2022-10-03,2022-10-04,2022-10-19,10,6.13,5.56,-9.28,0.00,-9.28,time_stop,8,8.90,26.71
H2,CMIG4,2022-10-21,2022-10-24,2022-11-08,10,5.80,5.85,0.87,0.14,0.73,time_stop,5,0.98,166.32
H2,CMIG4,2023-09-15,2023-09-18,2023-10-02,10,7.00,6.85,-2.15,-2.76,0.61,time_stop,7,4.34,82.93
H2,CMIG4,2024-11-14,2024-11-18,2024-12-03,10,10.18,9.75,-4.22,-1.39,-2.83,time_stop,8,22.36,349.62
H2,COGN3,2022-09-22,2022-09-23,2022-10-06,9,2.51,2.64,5.00,5.22,-0.22,take_profit,8,15.09,117.48
H2,COGN3,2022-10-31,2022-11-01,2022-11-17,10,2.81,2.01,-28.57,-6.31,-22.26,time_stop,7,22.43,58.08
H2,COGN3,2023-05-12,2023-05-15,2023-05-18,3,2.07,2.17,5.00,1.21,3.79,take_profit,6,2.60,21.54
H2,COGN3,2025-08-06,2025-08-07,2025-08-08,1,2.51,2.63,5.00,-0.46,5.46,take_profit,7,39.80,41.94
H2,COGN3,2026-01-21,2026-01-22,2026-01-23,1,4.06,4.26,5.00,1.71,3.29,take_profit,8,23.62,26.52
H2,CSMG3,2022-10-03,2022-10-04,2022-10-19,10,10.84,10.98,1.29,0.00,1.29,time_stop,8,14.70,207.27
H2,CSMG3,2023-03-15,2023-03-16,2023-03-30,10,11.41,11.81,3.47,0.47,3.00,time_stop,8,22.98,76.00
H2,CSMG3,2023-12-04,2023-12-05,2023-12-18,9,15.39,16.16,5.00,3.46,1.54,take_profit,6,2.08,272.48
H2,CSMG3,2024-06-21,2024-06-24,2024-07-08,10,18.34,18.84,2.70,3.24,-0.54,time_stop,8,15.38,56.74
H2,CSMG3,2025-06-13,2025-06-16,2025-06-26,7,25.25,26.51,5.00,-1.55,6.55,take_profit,7,12.11,206.59
H2,CSMG3,2025-09-04,2025-09-05,2025-09-16,7,30.24,31.75,5.00,1.05,3.95,take_profit,8,23.28,514.38
H2,CSMG3,2025-10-15,2025-10-16,2025-10-28,8,35.22,36.98,5.00,3.71,1.29,take_profit,7,37.22,118.55
H2,CSMG3,2025-12-01,2025-12-02,2025-12-16,10,42.11,41.68,-1.02,-1.78,0.76,time_stop,7,36.99,181.04
H2,CSMG3,2025-12-23,2025-12-26,2026-01-13,10,44.18,43.99,-0.43,0.79,-1.22,time_stop,7,36.76,431.73
H2,CPLE3,2022-10-24,2022-10-25,2022-11-01,5,5.76,6.05,5.00,2.11,2.89,take_profit,8,5.52,65.88
H2,CPLE3,2022-11-01,2022-11-03,2022-11-18,10,6.38,5.52,-13.51,-7.29,-6.21,time_stop,8,16.41,236.96
H2,CPLE3,2022-11-21,2022-11-22,2022-12-06,10,6.64,6.07,-8.59,1.59,-10.18,time_stop,7,24.91,330.98
H2,CPLE3,2023-04-11,2023-04-12,2023-04-13,1,5.71,5.99,5.00,-0.41,5.41,take_profit,6,3.66,235.10
H2,CPLE3,2023-06-09,2023-06-12,2023-06-26,10,6.62,6.73,1.57,0.69,0.88,time_stop,8,8.01,229.11
H2,CPLE3,2023-07-26,2023-07-27,2023-08-10,10,7.17,7.24,1.09,-1.32,2.40,time_stop,8,8.34,142.21
H2,CPLE3,2023-11-06,2023-11-07,2023-11-16,6,7.47,7.84,5.00,4.57,0.43,take_profit,8,10.64,269.41
H2,CPLE3,2025-05-08,2025-05-09,2025-05-23,10,10.47,10.72,2.33,0.92,1.40,time_stop,8,16.02,129.84
H2,CPFE3,2023-09-15,2023-09-18,2023-10-02,10,35.59,33.78,-5.09,-2.76,-2.33,time_stop,8,7.34,49.74
H2,CPFE3,2025-02-19,2025-02-20,2025-03-06,8,34.80,36.54,5.00,-3.27,8.27,take_profit,7,5.15,369.94
H2,CPFE3,2025-08-08,2025-08-11,2025-08-25,10,39.94,39.28,-1.65,1.97,-3.62,time_stop,8,5.54,172.44
H2,CPFE3,2025-11-12,2025-11-13,2025-11-19,4,45.29,47.55,5.00,-1.36,6.36,take_profit,7,1.50,133.13
H2,CPFE3,2026-01-23,2026-01-26,2026-02-09,10,55.49,50.20,-9.53,4.27,-13.81,time_stop,7,5.64,9.41
H2,CMIN3,2022-12-09,2022-12-12,2022-12-26,10,2.80,2.82,0.75,3.29,-2.54,time_stop,7,8.72,278.20
H2,CMIN3,2023-01-06,2023-01-09,2023-01-10,1,2.97,3.12,5.00,1.74,3.26,take_profit,7,16.05,79.78
H2,CMIN3,2023-05-08,2023-05-09,2023-05-17,6,3.43,3.60,5.00,2.13,2.87,take_profit,8,26.49,158.67
H2,CMIN3,2025-03-13,2025-03-14,2025-03-17,1,5.34,5.60,5.00,1.60,3.40,take_profit,7,11.08,132.19
H2,CURY3,2022-07-08,2022-07-11,2022-07-15,4,5.25,5.51,5.00,-1.61,6.61,take_profit,7,19.07,180.37
H2,CURY3,2022-09-01,2022-09-02,2022-09-05,1,6.79,7.13,5.00,1.27,3.73,take_profit,8,30.91,1184.85
H2,CURY3,2023-06-30,2023-07-03,2023-07-17,10,12.11,11.93,-1.48,-1.06,-0.42,time_stop,7,21.26,258.51
H2,CURY3,2024-03-12,2024-03-13,2024-03-27,10,16.00,16.08,0.49,-0.26,0.75,time_stop,8,18.71,301.08
H2,CURY3,2024-09-04,2024-09-05,2024-09-19,10,20.68,21.26,2.77,-2.65,5.42,time_stop,7,21.41,123.03
H2,CURY3,2024-10-29,2024-10-30,2024-11-13,10,21.60,19.76,-8.51,-2.28,-6.23,time_stop,8,22.19,483.83
H2,CURY3,2025-03-18,2025-03-19,2025-04-02,10,21.30,22.36,5.00,-0.54,5.54,take_profit,7,10.95,153.17
H2,CURY3,2025-08-06,2025-08-07,2025-08-21,10,29.17,28.75,-1.44,-1.42,-0.03,time_stop,7,28.55,144.62
H2,CVCB3,2025-03-24,2025-03-25,2025-03-26,1,2.17,2.28,5.00,0.16,4.84,take_profit,7,6.01,30.16
H2,CVCB3,2026-01-09,2026-01-12,2026-01-15,3,2.52,2.65,5.00,1.50,3.50,take_profit,6,2.08,203.33
H2,CVCB3,2026-01-15,2026-01-16,2026-01-30,10,2.68,2.62,-2.24,10.29,-12.53,time_stop,7,7.91,13.59
H2,CYRE3,2022-08-04,2022-08-05,2022-08-19,10,12.14,11.55,-4.91,4.66,-9.57,time_stop,7,6.02,85.52
H2,CYRE3,2022-09-02,2022-09-05,2022-09-20,10,13.44,13.24,-1.52,0.37,-1.89,time_stop,7,11.64,234.51
H2,CYRE3,2022-09-28,2022-09-29,2022-09-30,1,13.97,14.67,5.00,2.56,2.44,take_profit,8,20.55,293.19
H2,CYRE3,2022-10-03,2022-10-04,2022-10-19,10,16.53,15.02,-9.14,0.00,-9.14,time_stop,6,29.19,147.48
H2,CYRE3,2023-07-13,2023-07-14,2023-07-26,8,18.94,19.89,5.00,4.19,0.81,take_profit,6,32.73,116.95
H2,CYRE3,2025-08-22,2025-08-25,2025-08-28,3,24.08,25.29,5.00,2.37,2.63,take_profit,8,11.17,58.89
H2,CYRE3,2025-09-11,2025-09-12,2025-09-26,10,27.94,28.02,0.30,2.32,-2.02,time_stop,8,23.53,164.93
H2,CYRE3,2025-11-07,2025-11-10,2025-11-25,10,31.17,31.96,2.54,0.47,2.07,time_stop,7,15.93,142.67
H2,DIRR3,2022-09-02,2022-09-05,2022-09-15,7,3.42,3.60,5.00,-2.16,7.16,take_profit,7,25.24,181.42
H2,DIRR3,2022-10-03,2022-10-04,2022-10-19,10,4.24,3.88,-8.36,0.00,-8.36,time_stop,6,43.33,70.12
H2,DIRR3,2023-06-30,2023-07-03,2023-07-17,10,4.91,5.00,1.73,-1.06,2.79,time_stop,7,16.53,113.03
H2,DIRR3,2023-12-13,2023-12-14,2023-12-28,9,5.42,5.69,5.00,2.77,2.23,take_profit,6,3.60,107.05
H2,DIRR3,2024-02-20,2024-02-21,2024-03-06,10,6.02,6.32,5.00,-0.82,5.82,take_profit,8,11.71,38.98
H2,ECOR3,2023-03-17,2023-03-20,2023-04-03,10,4.76,4.64,-2.51,0.61,-3.13,time_stop,7,5.86,219.92
H2,ECOR3,2023-04-10,2023-04-11,2023-04-12,1,5.18,5.44,5.00,0.43,4.57,take_profit,7,17.11,292.73
H2,ECOR3,2023-06-20,2023-06-21,2023-07-05,10,6.70,5.92,-11.68,-0.37,-11.31,time_stop,6,27.39,172.43
H2,ECOR3,2023-07-19,2023-07-20,2023-07-21,1,7.01,7.36,5.00,1.80,3.20,take_profit,7,35.01,157.38
H2,ECOR3,2023-11-14,2023-11-16,2023-11-30,10,7.63,8.02,5.00,2.16,2.84,take_profit,7,15.26,9.25
H2,ECOR3,2025-08-27,2025-08-28,2025-09-04,5,7.74,8.13,5.00,-0.22,5.22,take_profit,7,23.51,126.80
H2,ECOR3,2025-11-10,2025-11-11,2025-11-12,1,8.69,9.12,5.00,-0.23,5.23,take_profit,7,15.40,140.22
H2,ECOR3,2025-11-12,2025-11-13,2025-11-25,7,9.50,9.97,5.00,-0.73,5.73,take_profit,7,24.93,199.33
H2,ECOR3,2026-01-23,2026-01-26,2026-02-09,10,12.16,10.82,-11.02,4.27,-15.29,time_stop,7,23.45,21.86
H2,ENGI11,2022-07-29,2022-08-01,2022-08-08,5,33.32,34.98,5.00,6.33,-1.33,take_profit,7,6.93,121.44
H2,ENGI11,2023-09-15,2023-09-18,2023-10-02,10,40.93,37.08,-9.41,-2.76,-6.66,time_stop,8,10.47,228.87
H2,ENEV3,2024-08-14,2024-08-15,2024-08-29,10,13.53,13.33,-1.48,1.29,-2.77,time_stop,7,0.78,43.95
H2,ENEV3,2025-08-25,2025-08-26,2025-09-09,10,15.06,15.31,1.66,2.71,-1.05,time_stop,8,12.00,157.89
H2,ENEV3,2025-10-24,2025-10-27,2025-11-03,5,17.70,18.59,5.00,2.34,2.66,take_profit,7,17.66,215.40
H2,ENEV3,2025-11-26,2025-11-27,2025-12-11,10,20.24,20.22,-0.10,0.56,-0.66,time_stop,7,21.18,82.44
H2,ENEV3,2026-01-21,2026-01-22,2026-02-05,10,21.79,21.58,-0.96,3.42,-4.39,time_stop,7,13.15,143.13
H2,EGIE3,2025-06-24,2025-06-25,2025-06-30,3,30.06,31.56,5.00,2.49,2.51,take_profit,7,6.80,130.52
H2,EQTL3,2022-03-18,2022-03-21,2022-04-04,10,23.67,24.32,2.74,4.34,-1.60,time_stop,7,9.52,68.07
H2,EQTL3,2022-09-23,2022-09-26,2022-10-03,5,24.32,25.54,5.00,6.92,-1.92,take_profit,8,9.35,253.34
H2,EQTL3,2023-09-13,2023-09-14,2023-09-28,10,30.66,29.68,-3.19,-2.95,-0.24,time_stop,8,8.91,129.02
H2,EQTL3,2023-12-20,2023-12-21,2024-01-09,10,32.78,32.28,-1.55,-0.59,-0.96,time_stop,7,0.44,238.60
H2,EZTC3,2023-07-25,2023-07-26,2023-08-03,6,14.20,14.91,5.00,-1.71,6.71,take_profit,6,22.93,141.34
H2,EZTC3,2024-11-01,2024-11-04,2024-11-19,10,10.38,10.23,-1.47,-1.79,0.31,time_stop,6,4.08,384.03
H2,EZTC3,2025-03-14,2025-03-17,2025-03-31,10,11.23,11.05,-1.62,-0.36,-1.26,time_stop,7,20.40,233.80
H2,EZTC3,2025-08-01,2025-08-04,2025-08-07,3,10.22,10.73,5.00,2.71,2.29,take_profit,8,5.53,40.02
H2,EZTC3,2025-09-09,2025-09-10,2025-09-15,3,11.96,12.56,5.00,0.93,4.07,take_profit,8,13.71,25.76
H2,EZTC3,2025-10-29,2025-10-30,2025-11-07,6,13.41,14.08,5.00,3.50,1.50,take_profit,7,18.03,17.86
H2,EZTC3,2025-11-14,2025-11-17,2025-11-28,8,15.01,15.76,5.00,1.34,3.66,take_profit,8,19.99,36.70
H2,FLRY3,2022-09-23,2022-09-26,2022-10-06,8,13.83,14.52,5.00,7.93,-2.93,take_profit,7,9.38,80.48
H2,FLRY3,2023-10-03,2023-10-04,2023-10-19,10,13.34,12.60,-5.56,0.38,-5.94,time_stop,7,7.41,145.76
H2,FLRY3,2023-11-10,2023-11-13,2023-11-28,10,14.09,14.20,0.77,5.05,-4.28,time_stop,8,6.24,150.12
H2,FLRY3,2023-12-15,2023-12-18,2024-01-04,10,15.58,14.73,-5.43,0.06,-5.49,time_stop,8,7.42,86.17
H2,FLRY3,2025-07-21,2025-07-22,2025-08-05,10,13.28,13.15,-0.97,-0.75,-0.22,time_stop,7,12.40,537.51
H2,FLRY3,2025-09-19,2025-09-22,2025-10-06,10,14.93,15.03,0.70,-0.93,1.63,time_stop,8,15.66,303.36
H2,GGBR4,2022-03-03,2022-03-04,2022-03-10,4,16.98,17.83,5.00,-0.91,5.91,take_profit,6,3.94,141.22
H2,GGBR4,2022-11-09,2022-11-10,2022-11-11,1,17.73,18.62,5.00,2.31,2.69,take_profit,7,7.65,5.89
H2,GGBR4,2022-11-11,2022-11-14,2022-11-29,10,20.02,21.02,5.00,-1.79,6.79,take_profit,7,18.66,27.74
H2,GGBR4,2022-11-30,2022-12-01,2022-12-15,10,21.63,20.72,-4.24,-6.13,1.88,time_stop,7,28.15,90.31
H2,GGBR4,2023-07-25,2023-07-26,2023-08-09,10,21.42,19.14,-10.64,-3.40,-7.24,time_stop,6,0.89,126.44
