estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,B,mrs,vol_ratio,contracao
A,AXIA3,2025-08-07,2025-08-08,2025-08-11,1,39.86,41.85,5.00,-0.31,5.31,take_profit,8,2,7.43,4.36,0.97
A,AXIA3,2025-08-11,2025-08-12,2025-08-26,10,42.37,41.67,-1.65,-0.12,-1.54,time_stop,7,1,14.03,1.90,0.98
A,AXIA3,2025-08-26,2025-08-27,2025-08-29,2,41.43,43.50,5.00,1.69,3.31,take_profit,8,0,10.10,0.74,0.26
A,AXIA3,2025-08-29,2025-09-01,2025-09-15,10,43.86,46.05,5.00,1.56,3.44,take_profit,9,1,12.08,1.42,0.28
A,AXIA3,2025-09-15,2025-09-16,2025-09-23,5,46.76,49.10,5.00,1.57,3.43,take_profit,7,1,15.64,1.62,0.46
A,AXIA3,2025-09-24,2025-09-25,2025-10-09,10,49.25,50.44,2.42,-2.48,4.90,time_stop,7,0,19.12,0.55,0.32
A,AXIA3,2025-10-09,2025-10-10,2025-10-20,6,50.62,53.16,5.00,2.51,2.49,take_profit,7,0,24.01,0.67,0.22
A,AXIA3,2025-10-30,2025-10-31,2025-11-07,5,53.99,56.69,5.00,3.00,2.00,take_profit,7,1,22.89,0.73,0.45
A,AXIA3,2025-11-12,2025-11-13,2025-11-26,8,59.84,62.83,5.00,1.06,3.94,take_profit,7,1,26.71,0.97,0.48
A,AXIA3,2025-11-26,2025-11-27,2025-12-11,10,64.10,62.84,-1.97,0.56,-2.53,time_stop,8,1,32.01,0.97,0.33
A,AXIA3,2025-12-16,2025-12-17,2026-01-06,10,63.08,51.96,-17.63,3.79,-21.42,time_stop,7,1,26.76,2.28,0.47
A,AXIA3,2026-02-26,2026-02-27,2026-03-13,10,62.00,58.00,-6.45,-5.73,-0.72,time_stop,7,1,2.92,0.99,0.33
A,AXIA6,2022-04-08,2022-04-11,2022-04-27,10,25.20,25.79,2.35,-6.26,8.62,time_stop,7,2,8.68,2.63,0.60
A,AXIA6,2022-04-28,2022-04-29,2022-05-13,10,25.93,25.98,0.17,-0.11,0.28,time_stop,7,0,18.12,0.69,0.30
A,AXIA6,2022-05-25,2022-05-26,2022-06-09,10,28.11,27.37,-2.63,-4.02,1.38,time_stop,7,0,24.97,0.88,0.30
A,AXIA6,2022-06-27,2022-06-28,2022-07-12,10,29.27,28.46,-2.77,-2.22,-0.56,time_stop,7,1,38.27,0.62,0.39
A,AXIA6,2022-07-12,2022-07-13,2022-07-25,8,28.42,29.84,5.00,2.37,2.63,take_profit,7,0,34.91,0.88,0.43
A,AXIA6,2022-07-25,2022-07-26,2022-08-04,7,29.85,31.34,5.00,6.58,-1.58,take_profit,7,1,36.44,0.74,0.40
A,AXIA6,2022-08-04,2022-08-05,2022-08-19,10,32.54,32.23,-0.95,4.66,-5.61,time_stop,8,2,38.01,2.39,0.49
A,AXIA6,2022-08-30,2022-08-31,2022-09-15,10,30.77,29.85,-3.01,0.26,-3.28,time_stop,7,0,21.58,0.67,0.43
A,AXIA6,2022-10-17,2022-10-18,2022-10-31,9,31.66,33.24,5.00,0.19,4.81,take_profit,7,1,14.53,1.33,0.52
A,AXIA6,2022-10-31,2022-11-01,2022-11-17,10,34.48,30.34,-12.03,-6.31,-5.72,time_stop,7,2,20.55,2.22,0.61
A,AXIA6,2022-11-21,2022-11-22,2022-12-06,10,31.66,29.83,-5.78,1.59,-7.37,time_stop,7,0,13.97,1.02,0.40
A,AXIA6,2023-11-23,2023-11-24,2023-12-08,10,30.26,30.26,-0.00,1.36,-1.36,time_stop,7,1,2.95,0.50,0.21
A,AXIA6,2023-12-08,2023-12-11,2023-12-26,10,30.23,31.50,4.21,5.31,-1.10,time_stop,7,0,2.13,0.97,0.34
A,AXIA6,2024-01-11,2024-01-12,2024-01-26,10,32.44,30.86,-4.88,-1.69,-3.19,time_stop,7,1,5.09,1.65,0.83
A,AXIA6,2024-01-29,2024-01-30,2024-02-09,8,30.78,32.31,5.00,0.45,4.55,take_profit,7,0,1.57,0.47,0.21
A,AXIA6,2024-02-15,2024-02-16,2024-03-01,10,31.59,32.36,2.44,0.29,2.15,time_stop,7,1,4.37,2.87,0.44
A,AXIA6,2024-03-01,2024-03-04,2024-03-18,10,32.36,30.85,-4.66,-1.16,-3.50,time_stop,8,0,5.74,0.71,0.33
A,AXIA6,2025-02-25,2025-02-26,2025-03-14,10,30.83,32.19,4.43,3.23,1.20,time_stop,7,0,5.25,0.98,0.26
A,AXIA6,2025-03-14,2025-03-17,2025-03-31,10,32.19,32.60,1.28,-0.36,1.64,time_stop,7,1,7.46,1.57,0.44
A,AXIA6,2025-03-31,2025-04-01,2025-04-15,10,32.77,33.22,1.37,-1.44,2.80,time_stop,8,0,7.02,0.67,0.33
A,AXIA6,2025-04-30,2025-05-02,2025-05-16,10,35.30,34.10,-3.40,3.23,-6.63,time_stop,7,1,11.42,0.92,0.41
A,AXIA6,2025-05-30,2025-06-02,2025-06-16,10,34.77,34.17,-1.74,1.85,-3.58,time_stop,7,1,5.80,2.31,0.42
A,AXIA6,2025-08-07,2025-08-08,2025-08-11,1,33.92,35.61,5.00,-0.31,5.31,take_profit,7,2,3.98,7.15,1.00
A,AXIA6,2025-08-11,2025-08-12,2025-08-26,10,35.90,35.18,-2.03,-0.12,-1.91,time_stop,7,1,10.31,1.72,1.00
A,AXIA6,2025-08-26,2025-08-27,2025-09-10,10,35.19,36.95,5.00,2.17,2.83,take_profit,8,0,5.97,0.52,0.21
A,AXIA6,2025-09-10,2025-09-11,2025-09-17,4,37.11,38.97,5.00,1.89,3.11,take_profit,7,0,7.54,0.53,0.38
A,AXIA6,2025-09-17,2025-09-18,2025-09-29,7,39.65,41.64,5.00,0.65,4.35,take_profit,8,2,11.57,2.73,0.53
A,AXIA6,2025-09-29,2025-09-30,2025-10-14,10,42.84,41.82,-2.38,-3.14,0.76,time_stop,7,1,17.99,1.59,0.42
A,AXIA6,2025-10-14,2025-10-15,2025-10-29,10,43.05,44.90,4.31,4.17,0.14,time_stop,7,0,17.95,1.02,0.30
