estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score_entrada,score_saida,evolucao_score,B,mrs,vol_ratio,contracao
B,AXIA6,2025-11-14,2025-11-17,2025-11-26,6,49.67,52.15,5.00,1.27,3.73,take_profit_ret,8,7,-1,2,22.85,2.06,0.43
B,AXIA6,2026-01-22,2026-01-23,2026-02-06,10,58.47,61.39,5.00,2.01,2.99,take_profit_ret,7,5,-2,2,18.66,2.04,0.58
B,AXIA6,2026-02-19,2026-02-20,2026-03-06,10,65.98,64.29,-2.56,-5.78,3.22,time_stop,8,6,-2,2,24.33,2.22,0.47
B,AZZA3,2022-08-04,2022-08-05,2022-08-10,3,74.04,70.97,-4.14,3.72,-7.86,stop_loss,8,6,-2,2,13.81,2.11,0.48
B,AZZA3,2025-05-08,2025-05-09,2025-05-13,2,34.71,36.45,5.00,1.78,3.22,take_profit_ret,5,5,0,2,-1.36,4.91,0.54
B,B3SA3,2025-01-30,2025-01-31,2025-02-14,10,10.61,11.09,4.51,1.52,2.99,time_stop,6,6,0,2,2.84,2.29,0.62
B,B3SA3,2025-03-13,2025-03-14,2025-03-17,1,11.22,11.78,5.00,1.60,3.40,take_profit_ret,7,7,0,2,8.75,2.26,0.83
B,B3SA3,2025-05-08,2025-05-09,2025-05-23,10,13.75,13.84,0.63,0.92,-0.29,time_stop,6,6,0,2,20.78,4.34,0.54
B,B3SA3,2025-11-11,2025-11-12,2025-11-13,1,13.25,13.91,5.00,-0.22,5.22,take_profit_ret,5,5,0,2,-8.41,2.25,0.64
B,B3SA3,2025-11-13,2025-11-14,2025-11-21,4,14.05,13.43,-4.43,-1.55,-2.88,stop_loss,5,5,0,2,-1.67,2.03,0.74
B,B3SA3,2026-01-29,2026-01-30,2026-02-05,4,16.68,15.90,-4.68,0.25,-4.93,stop_loss,6,5,-1,2,-0.17,2.31,0.43
B,BBSE3,2022-03-18,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit_ret,7,7,0,2,10.83,2.75,0.71
B,BBSE3,2022-05-31,2022-06-01,2022-06-07,4,18.00,17.07,-5.17,-1.23,-3.94,stop_loss,8,7,-1,2,22.56,2.26,0.62
B,BBSE3,2022-07-14,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit_ret,8,7,-1,2,30.42,2.21,0.77
B,BBSE3,2022-09-16,2022-09-19,2022-09-29,8,20.36,18.66,-8.37,-4.08,-4.29,stop_loss,8,6,-2,2,22.14,2.55,0.99
B,BBSE3,2024-12-03,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit_ret,8,7,-1,2,7.37,2.05,1.00
B,BBSE3,2025-01-15,2025-01-16,2025-01-30,10,30.91,31.97,3.46,4.75,-1.29,time_stop,8,6,-2,2,14.49,2.16,0.74
B,BBDC3,2024-08-05,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit_ret,6,4,-2,2,1.19,4.43,1.00
B,BBDC3,2025-05-08,2025-05-09,2025-05-23,10,12.44,12.61,1.42,0.92,0.50,time_stop,7,7,0,2,10.64,3.84,0.64
B,BBDC3,2025-05-28,2025-05-29,2025-06-12,10,13.05,13.33,2.13,-0.52,2.64,time_stop,8,5,-3,2,12.53,2.24,0.44
B,BBDC3,2026-01-21,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit_ret,7,5,-2,2,2.41,2.23,0.64
B,BBDC4,2022-08-05,2022-08-08,2022-08-12,4,13.88,14.57,5.00,3.66,1.34,take_profit_ret,6,5,-1,2,1.18,2.15,0.56
B,BBDC4,2022-10-03,2022-10-04,2022-10-10,4,16.15,15.33,-5.10,-0.24,-4.86,stop_loss,8,5,-3,2,5.63,2.23,0.75
B,BBDC4,2023-11-03,2023-11-06,2023-11-21,10,11.92,12.36,3.63,6.05,-2.42,time_stop,5,3,-2,2,-4.20,2.03,1.00
B,BBDC4,2024-02-06,2024-02-07,2024-02-09,2,12.87,11.45,-11.01,-1.62,-9.39,stop_loss,7,1,-6,2,1.04,2.61,1.00
B,BBDC4,2024-08-06,2024-08-07,2024-08-13,4,12.36,12.97,5.00,3.82,1.18,take_profit_ret,6,6,0,2,2.65,2.66,0.96
B,BBDC4,2025-05-08,2025-05-09,2025-05-23,10,14.06,14.64,4.13,0.92,3.20,time_stop,7,7,0,2,12.01,5.17,0.67
B,BBDC4,2026-01-21,2026-01-22,2026-01-23,1,19.76,20.75,5.00,1.71,3.29,take_profit_ret,7,5,-2,2,2.39,2.69,0.62
B,BRAP4,2022-11-11,2022-11-14,2022-11-29,10,17.52,18.39,5.00,-1.79,6.79,take_profit_ret,6,7,1,2,4.26,2.12,0.69
B,BRAP4,2023-11-03,2023-11-06,2023-11-16,7,16.92,17.76,5.00,5.36,-0.36,take_profit_ret,5,7,2,2,-5.25,2.47,0.75
B,BRAP4,2024-09-26,2024-09-27,2024-10-09,8,16.26,15.27,-6.04,-2.08,-3.96,stop_loss,5,4,-1,2,-0.71,2.64,1.00
B,BRAP4,2025-03-21,2025-03-24,2025-04-04,9,15.34,14.22,-7.31,-3.23,-4.08,stop_loss,6,4,-2,2,-0.99,2.28,0.46
B,BRAP4,2025-10-31,2025-11-03,2025-11-17,10,16.59,17.05,2.81,4.36,-1.54,time_stop,7,6,-1,2,2.09,2.81,0.59
B,BRAP4,2025-12-15,2025-12-16,2026-01-05,10,19.89,20.37,2.42,2.17,0.26,time_stop,7,6,-1,2,13.09,4.93,0.53
B,BBAS3,2022-02-11,2022-02-14,2022-02-15,1,11.92,12.52,5.00,0.99,4.01,take_profit_ret,7,5,-2,2,11.38,2.33,0.59
B,BBAS3,2022-02-15,2022-02-16,2022-03-04,10,12.56,12.39,-1.33,-0.33,-0.99,time_stop,7,6,-1,2,15.50,3.06,0.80
B,BBAS3,2022-08-11,2022-08-12,2022-08-26,10,15.85,15.99,0.87,-0.26,1.13,time_stop,7,7,0,2,26.98,4.46,0.53
B,BBAS3,2022-10-03,2022-10-04,2022-10-06,2,16.26,15.56,-4.33,1.00,-5.33,stop_loss,8,4,-4,2,14.89,2.36,0.92
B,BBAS3,2023-01-17,2023-01-18,2023-01-20,2,15.23,15.99,5.00,0.11,4.89,take_profit_ret,7,6,-1,2,5.38,2.31,0.52
B,BBAS3,2023-01-20,2023-01-23,2023-02-06,10,16.04,15.78,-1.62,-2.46,0.83,time_stop,7,7,0,2,10.88,2.25,0.63
B,BBAS3,2023-02-14,2023-02-15,2023-03-02,9,16.72,15.92,-4.78,-5.76,0.98,stop_loss,7,7,0,2,16.90,3.07,0.74
B,BBAS3,2023-04-12,2023-04-13,2023-04-28,10,17.57,17.66,0.52,-1.97,2.49,time_stop,8,8,0,2,19.66,4.93,0.67
B,BBAS3,2023-06-12,2023-06-13,2023-06-21,6,20.76,21.80,5.00,2.95,2.05,take_profit_ret,7,7,0,2,21.98,2.67,0.73
B,BBAS3,2023-10-06,2023-10-09,2023-10-24,10,21.00,21.22,1.03,-1.34,2.37,time_stop,8,8,0,2,14.43,2.35,0.83
B,BBAS3,2025-02-14,2025-02-17,2025-03-05,10,27.12,25.77,-4.98,-4.15,-0.82,stop_loss,8,7,-1,2,10.41,2.06,0.46
B,BBAS3,2026-01-21,2026-01-22,2026-01-23,1,22.26,23.37,5.00,1.71,3.29,take_profit_ret,5,4,-1,2,-16.83,2.23,0.95
B,BBAS3,2026-01-23,2026-01-26,2026-02-03,6,24.14,25.34,5.00,3.93,1.07,take_profit_ret,5,5,0,2,-12.86,2.67,0.98
B,BRKM5,2023-06-12,2023-06-13,2023-06-15,2,27.50,28.88,5.00,2.18,2.82,take_profit_ret,6,5,-1,2,1.07,2.25,0.75
B,BRKM5,2023-06-15,2023-06-16,2023-06-27,7,29.99,28.60,-4.63,-0.98,-3.65,stop_loss,7,6,-1,2,8.49,2.57,0.65
B,BRKM5,2024-03-20,2024-03-21,2024-04-05,10,26.36,25.72,-2.43,-1.18,-1.25,time_stop,7,7,0,2,16.61,4.21,0.90
B,BRKM5,2024-09-18,2024-09-19,2024-09-23,2,20.48,18.59,-9.23,-1.83,-7.40,stop_loss,5,0,-5,2,-3.23,3.12,0.84
B,BRKM5,2026-03-05,2026-03-06,2026-03-10,2,12.99,12.21,-6.00,2.19,-8.20,stop_loss,6,5,-1,2,22.34,4.58,0.98
B,BRAV3,2022-04-29,2022-05-03,2022-05-10,5,43.99,43.00,-2.25,-3.39,1.14,stop_loss,7,5,-2,2,31.23,2.37,0.86
B,BRAV3,2022-10-04,2022-10-05,2022-10-17,7,42.00,42.49,1.17,-3.02,4.18,stop_loss,6,7,1,2,3.13,2.82,1.00
B,BRAV3,2023-01-11,2023-01-12,2023-01-19,5,44.88,47.12,5.00,0.79,4.21,take_profit_ret,7,7,0,2,10.56,2.98,0.71
B,BPAC11,2022-08-10,2022-08-11,2022-08-25,10,23.70,23.53,-0.73,3.51,-4.24,time_stop,7,7,0,2,11.59,2.08,0.60
B,BPAC11,2023-04-12,2023-04-13,2023-04-28,10,21.41,21.64,1.08,-1.97,3.05,time_stop,6,4,-2,2,1.28,2.11,0.64
B,BPAC11,2024-11-12,2024-11-13,2024-11-28,9,32.29,30.46,-5.66,-2.44,-3.23,stop_loss,6,4,-2,2,0.53,2.31,0.85
B,BPAC11,2025-05-08,2025-05-09,2025-05-23,10,38.83,38.63,-0.53,0.92,-1.45,time_stop,8,7,-1,2,15.79,2.37,0.42
B,BPAC11,2025-08-12,2025-08-13,2025-08-21,6,44.45,42.53,-4.33,-1.52,-2.81,stop_loss,7,8,1,2,23.72,4.04,0.86
B,BPAC11,2025-11-11,2025-11-12,2025-11-27,10,51.81,52.02,0.40,0.57,-0.17,time_stop,7,6,-1,2,13.32,2.12,0.55
B,BPAC11,2026-01-21,2026-01-22,2026-01-27,3,57.99,60.89,5.00,3.18,1.82,take_profit_ret,7,6,-1,2,9.07,2.08,0.57
B,BHIA3,2025-03-10,2025-03-11,2025-03-12,1,4.77,5.01,5.00,0.16,4.84,take_profit_ret,6,7,1,2,5.00,4.66,1.00
B,BHIA3,2025-03-19,2025-03-20,2025-03-21,1,7.16,7.52,5.00,0.10,4.90,take_profit_ret,6,5,-1,2,50.21,2.37,0.54
B,BHIA3,2025-08-29,2025-09-01,2025-09-02,1,4.40,4.62,5.00,-0.67,5.67,take_profit_ret,5,6,1,2,-2.30,3.47,0.82
B,CBAV3,2023-01-18,2023-01-19,2023-02-03,11,11.90,10.97,-7.77,-3.89,-3.89,stop_loss,7,5,-2,2,1.33,2.82,0.49
B,CBAV3,2024-04-09,2024-04-10,2024-04-15,3,5.04,4.23,-16.07,-2.09,-13.98,stop_loss,7,5,-2,2,8.07,2.46,0.97
B,CBAV3,2024-09-24,2024-09-25,2024-10-02,5,5.33,5.60,5.00,1.51,3.49,take_profit_ret,6,5,-1,2,1.05,2.73,0.88
B,CBAV3,2024-10-04,2024-10-07,2024-10-09,2,6.25,6.75,8.00,-1.63,9.63,stop_loss,8,5,-3,2,15.35,2.64,0.49
B,CBAV3,2025-02-11,2025-02-12,2025-02-20,6,5.63,5.91,5.00,2.66,2.34,take_profit_ret,6,5,-1,2,0.90,2.08,0.53
B,CEAB3,2023-03-06,2023-03-07,2023-03-08,1,2.62,2.75,5.00,2.30,2.70,take_profit_ret,7,6,-1,2,7.76,2.20,0.87
B,CEAB3,2023-05-12,2023-05-15,2023-05-17,2,3.55,3.72,5.00,0.51,4.49,take_profit_ret,6,5,-1,2,35.41,2.05,0.51
B,CEAB3,2023-08-11,2023-08-14,2023-08-17,3,6.14,5.97,-2.84,-1.72,-1.11,stop_loss,7,5,-2,2,83.62,3.67,0.66
B,CEAB3,2023-11-10,2023-11-13,2023-11-16,2,6.61,6.94,5.00,3.54,1.46,take_profit_ret,7,5,-2,2,55.17,3.70,0.68
B,CEAB3,2023-11-16,2023-11-17,2023-11-24,5,7.42,7.08,-4.57,0.46,-5.04,stop_loss,7,7,0,2,64.16,2.11,0.68
B,CEAB3,2024-02-29,2024-03-01,2024-03-08,5,8.59,9.02,5.00,-1.58,6.58,take_profit_ret,8,7,-1,2,40.96,2.70,0.41
B,CEAB3,2024-04-04,2024-04-05,2024-04-15,6,10.92,10.09,-7.56,-1.10,-6.46,stop_loss,7,6,-1,2,68.12,2.09,0.61
B,CEAB3,2024-10-11,2024-10-14,2024-10-16,2,10.26,10.77,5.00,0.45,4.55,take_profit_ret,7,6,-1,2,13.72,2.97,1.00
B,CEAB3,2024-10-25,2024-10-28,2024-11-06,7,11.86,12.45,5.00,-1.20,6.20,take_profit_ret,7,6,-1,2,30.33,2.25,0.55
B,CEAB3,2025-05-08,2025-05-09,2025-05-12,1,13.93,14.62,5.00,0.11,4.89,take_profit_ret,7,5,-2,2,35.65,2.72,0.59
B,CEAB3,2025-11-05,2025-11-06,2025-11-10,2,16.61,16.03,-3.53,1.43,-4.96,stop_loss,7,2,-5,2,4.01,2.45,0.68
B,CMIG4,2022-03-18,2022-03-21,2022-03-24,3,4.66,4.89,5.00,2.50,2.50,take_profit_ret,7,6,-1,2,8.49,2.25,0.81
B,CMIG4,2022-10-03,2022-10-04,2022-10-06,2,6.13,5.59,-8.78,1.00,-9.78,stop_loss,8,4,-4,2,8.90,2.23,0.91
B,CMIG4,2022-10-21,2022-10-24,2022-10-27,3,5.80,5.42,-6.51,-1.91,-4.60,stop_loss,5,5,0,2,0.98,3.62,0.65
B,CMIG4,2023-09-15,2023-09-18,2023-10-02,10,7.00,6.85,-2.15,-2.76,0.61,time_stop,7,5,-2,2,4.34,2.21,0.69
B,CMIG4,2024-08-14,2024-08-15,2024-08-29,10,9.49,9.64,1.51,1.29,0.22,time_stop,7,7,0,2,21.87,2.28,0.82
B,CMIG4,2024-11-14,2024-11-18,2024-11-22,3,10.18,9.84,-3.31,1.29,-4.61,stop_loss,8,6,-2,2,22.36,3.86,0.88
B,CMIG4,2026-01-22,2026-01-23,2026-02-06,10,11.50,11.35,-1.30,2.01,-3.32,time_stop,6,5,-1,2,-9.24,2.13,0.90
B,COGN3,2022-09-22,2022-09-23,2022-09-28,3,2.51,2.41,-4.08,-2.80,-1.28,stop_loss,8,6,-2,2,15.09,2.32,0.95
B,COGN3,2022-10-31,2022-11-01,2022-11-08,4,2.81,2.49,-11.55,-0.45,-11.10,stop_loss,7,5,-2,2,22.43,2.24,0.85
B,COGN3,2023-05-12,2023-05-15,2023-05-18,3,2.07,2.17,5.00,1.21,3.79,take_profit_ret,6,5,-1,2,2.60,2.44,0.73
B,COGN3,2023-11-09,2023-11-10,2023-11-14,2,2.33,2.45,5.00,2.22,2.78,take_profit_ret,5,4,-1,2,-1.10,2.86,0.74
B,COGN3,2025-08-06,2025-08-07,2025-08-08,1,2.51,2.63,5.00,-0.46,5.46,take_profit_ret,7,7,0,2,39.80,2.02,0.54
B,COGN3,2026-01-21,2026-01-22,2026-01-23,1,4.06,4.26,5.00,1.71,3.29,take_profit_ret,8,7,-1,2,23.62,2.03,0.50
B,CSMG3,2022-10-03,2022-10-04,2022-10-14,7,10.84,10.33,-4.76,-3.68,-1.09,stop_loss,8,7,-1,2,14.70,4.38,1.00
B,CSMG3,2023-03-15,2023-03-16,2023-03-21,3,11.41,10.87,-4.77,-2.07,-2.70,stop_loss,8,7,-1,2,22.98,2.16,0.77
B,CSMG3,2023-12-04,2023-12-05,2023-12-18,9,15.39,16.16,5.00,3.46,1.54,take_profit_ret,6,6,0,2,2.08,2.29,0.62
B,CSMG3,2024-06-21,2024-06-24,2024-07-08,10,18.34,18.84,2.70,3.24,-0.54,time_stop,8,7,-1,2,15.38,4.12,0.85
B,CSMG3,2025-05-15,2025-05-16,2025-05-20,2,21.22,22.28,5.00,0.54,4.46,take_profit_ret,5,3,-2,2,-6.33,2.97,0.81
B,CSMG3,2025-06-13,2025-06-16,2025-06-26,7,25.25,26.51,5.00,-1.55,6.55,take_profit_ret,7,7,0,2,12.11,3.37,0.78
B,CSMG3,2025-09-04,2025-09-05,2025-09-16,7,30.24,31.75,5.00,1.05,3.95,take_profit_ret,8,7,-1,2,23.28,2.69,0.37
B,CSMG3,2025-10-15,2025-10-16,2025-10-28,8,35.22,36.98,5.00,3.71,1.29,take_profit_ret,7,6,-1,2,37.22,2.75,0.98
B,CSMG3,2025-12-01,2025-12-02,2025-12-16,10,42.11,41.68,-1.02,-1.78,0.76,time_stop,7,7,0,2,36.99,2.36,0.74
B,CSMG3,2025-12-23,2025-12-26,2026-01-13,10,44.18,43.99,-0.43,0.79,-1.22,time_stop,7,5,-2,2,36.76,3.84,0.56
B,CPLE3,2022-10-24,2022-10-25,2022-11-01,5,5.76,6.05,5.00,2.11,2.89,take_profit_ret,8,8,0,2,5.52,2.44,0.79
B,CPLE3,2022-11-01,2022-11-03,2022-11-11,6,6.38,6.05,-5.19,-4.02,-1.17,stop_loss,8,8,0,2,16.41,4.17,0.61
B,CPLE3,2022-11-21,2022-11-22,2022-11-28,4,6.64,6.27,-5.60,0.08,-5.68,stop_loss,7,6,-1,2,24.91,4.71,0.93
B,CPLE3,2023-04-11,2023-04-12,2023-04-13,1,5.71,5.99,5.00,-0.41,5.41,take_profit_ret,6,6,0,2,3.66,2.84,0.62
B,CPLE3,2023-06-09,2023-06-12,2023-06-26,10,6.62,6.73,1.57,0.69,0.88,take_profit_score,8,9,1,2,8.01,3.17,0.90
B,CPLE3,2023-07-26,2023-07-27,2023-08-10,10,7.17,7.24,1.09,-1.32,2.40,time_stop,8,8,0,2,8.34,2.56,0.98
B,CPLE3,2023-11-06,2023-11-07,2023-11-16,6,7.47,7.84,5.00,4.57,0.43,take_profit_ret,8,8,0,2,10.64,2.26,0.72
B,CPLE3,2025-05-08,2025-05-09,2025-05-23,10,10.47,10.72,2.33,0.92,1.40,time_stop,8,7,-1,2,16.02,2.10,0.42
B,CSAN3,2023-11-03,2023-11-06,2023-11-16,7,16.60,17.43,5.00,5.36,-0.36,take_profit_ret,5,5,0,2,-1.69,2.92,0.83
B,CSAN3,2023-12-14,2023-12-15,2024-01-03,10,18.09,18.64,3.04,2.15,0.90,time_stop,5,5,0,2,-3.49,2.41,1.00
B,CPFE3,2023-06-16,2023-06-19,2023-06-26,5,31.43,33.00,5.00,-1.47,6.47,take_profit_ret,5,5,0,2,-4.81,2.75,0.54
B,CPFE3,2023-09-15,2023-09-18,2023-09-29,9,35.59,34.23,-3.82,-1.31,-2.51,stop_loss,8,4,-4,2,7.34,2.25,0.82
B,CPFE3,2025-02-19,2025-02-20,2025-03-06,8,34.80,36.54,5.00,-3.27,8.27,take_profit_ret,7,6,-1,2,5.15,3.19,0.89
B,CPFE3,2025-08-08,2025-08-11,2025-08-25,10,39.94,39.28,-1.65,1.97,-3.62,time_stop,8,6,-2,2,5.54,2.82,0.89
B,CPFE3,2025-11-03,2025-11-04,2025-11-12,6,42.70,44.84,5.00,4.68,0.32,take_profit_ret,7,6,-1,2,-0.07,2.14,0.37
B,CPFE3,2025-11-12,2025-11-13,2025-11-19,4,45.29,47.55,5.00,-1.36,6.36,take_profit_ret,7,8,1,2,1.50,2.08,0.50
B,CPFE3,2026-01-23,2026-01-26,2026-01-29,3,55.49,53.33,-3.89,2.48,-6.37,stop_loss,7,4,-3,2,5.64,2.16,0.96
B,CMIN3,2022-12-09,2022-12-12,2022-12-14,2,2.80,2.66,-5.00,-1.08,-3.92,stop_loss,7,4,-3,2,8.72,2.48,0.63
B,CMIN3,2023-01-06,2023-01-09,2023-01-10,1,2.97,3.12,5.00,1.74,3.26,take_profit_ret,7,5,-2,2,16.05,2.00,0.70
B,CMIN3,2023-05-08,2023-05-09,2023-05-17,6,3.43,3.60,5.00,2.13,2.87,take_profit_ret,8,7,-1,2,26.49,2.36,0.82
B,CMIN3,2023-09-21,2023-09-22,2023-10-06,10,3.61,3.62,0.22,-1.73,1.95,time_stop,7,7,0,2,3.75,2.28,0.42
B,CMIN3,2025-03-13,2025-03-14,2025-03-17,1,5.34,5.60,5.00,1.60,3.40,take_profit_ret,7,6,-1,2,11.08,3.32,0.80
B,CURY3,2022-07-08,2022-07-11,2022-07-15,4,5.25,5.51,5.00,-1.61,6.61,take_profit_ret,7,6,-1,2,19.07,2.03,0.82
B,CURY3,2022-09-01,2022-09-02,2022-09-05,1,6.79,7.13,5.00,1.27,3.73,take_profit_ret,8,6,-2,2,30.91,5.65,0.42
B,CURY3,2023-06-30,2023-07-03,2023-07-12,7,12.11,12.12,0.06,-1.82,1.88,stop_loss,7,6,-1,2,21.26,4.14,0.79
B,CURY3,2024-03-12,2024-03-13,2024-03-27,10,16.00,16.08,0.49,-0.26,0.75,time_stop,8,7,-1,2,18.71,2.78,0.57
B,CURY3,2024-09-04,2024-09-05,2024-09-19,10,20.68,21.26,2.77,-2.65,5.42,time_stop,7,7,0,2,21.41,2.16,0.85
B,CURY3,2024-10-29,2024-10-30,2024-11-04,3,21.60,20.73,-4.04,-0.06,-3.98,stop_loss,8,8,0,2,22.19,3.05,0.66
B,CURY3,2025-03-18,2025-03-19,2025-04-02,10,21.30,22.36,5.00,-0.54,5.54,take_profit_ret,7,9,2,2,10.95,2.69,0.86
B,CURY3,2025-08-06,2025-08-07,2025-08-21,10,29.17,28.75,-1.44,-1.42,-0.03,time_stop,7,7,0,2,28.55,2.93,0.82
B,CVCB3,2025-03-24,2025-03-25,2025-03-26,1,2.17,2.28,5.00,0.16,4.84,take_profit_ret,7,6,-1,2,6.01,2.11,0.56
B,CVCB3,2026-01-09,2026-01-12,2026-01-15,3,2.52,2.65,5.00,1.50,3.50,take_profit_ret,6,5,-1,2,2.08,2.08,0.52
B,CVCB3,2026-01-15,2026-01-16,2026-01-20,2,2.68,2.52,-5.97,0.84,-6.81,stop_loss,7,4,-3,2,7.91,2.00,0.47
